Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty_1	ReqTime	ReqDur	Stim Type	Pair Index
8042	1	Picture	ripnp	10167	0	1	50132	1	0	50000	other	0
8042	2	Picture	ricordaneutralprova	60466	0	1	50132	1	0	50000	other	0
8042	3	Picture	tre	110765	0	1	10026	1	0	10000	other	0
8042	4	Picture	due	120958	0	1	10026	1	0	10000	other	0
8042	5	Picture	uno	131152	0	1	10026	1	0	10000	other	0
8042	6	Picture	zero	141345	0	1	10026	1	0	10000	other	0
8042	7	Picture	neutraltest	151539	0	1	167	1	0	10	other	0
8042	8	Picture	NMM	151873	0	1	20053	1	0	20000	other	0
8042	8	Response	1	161809	9936	0	NA	NA	NA	NA	NA	NA
8042	9	Picture	fix1	172093	0	1	10027	1	0	10000	other	0
8042	10	Picture	NWK	182286	0	1	20053	1	0	20000	other	0
8042	10	Response	2	189415	7129	0	NA	NA	NA	NA	NA	NA
8042	11	Picture	fix1	202506	0	1	10026	1	0	10000	other	0
8042	12	Picture	NMK	212700	0	1	20053	1	0	20000	other	0
8042	12	Response	1	221986	9286	0	NA	NA	NA	NA	NA	NA
8042	13	Picture	fix1	232920	0	1	10026	1	0	10000	other	0
8042	14	Picture	NWBK	243113	0	1	20053	1	0	20000	other	0
8042	14	Response	2	251577	8464	0	NA	NA	NA	NA	NA	NA
8042	15	Picture	fix1	263333	0	1	10026	1	0	10000	other	0
8042	16	Picture	ripfp	273527	0	1	50132	1	0	50000	other	0
8042	17	Picture	ricordafacceprova	323826	0	1	50132	1	0	50000	other	0
8042	18	Picture	tre	374124	0	1	10026	1	0	10000	other	0
8042	19	Picture	due	384318	0	1	10026	1	0	10000	other	0
8042	20	Picture	uno	394511	0	1	10026	1	0	10000	other	0
8042	21	Picture	zero	404705	0	1	10026	1	0	10000	other	0
8042	22	Picture	faccetest	414898	0	1	167	1	0	10	other	0
8042	23	Picture	FMG	415233	0	1	20053	1	0	20000	other	0
8042	23	Response	2	422463	7231	0	NA	NA	NA	NA	NA	NA
8042	24	Picture	fix1	435453	0	1	10026	1	0	10000	other	0
8042	25	Picture	FWR	445646	0	1	20053	1	0	20000	other	0
8042	25	Response	2	453441	7795	0	NA	NA	NA	NA	NA	NA
8042	26	Picture	fix1	465866	0	1	10026	1	0	10000	other	0
8042	27	Picture	HWG	476059	0	1	20053	1	0	20000	other	0
8042	27	Response	1	483623	7564	0	NA	NA	NA	NA	NA	NA
8042	28	Picture	fix1	496279	0	1	10026	1	0	10000	other	0
8042	29	Picture	HMR	506473	0	1	20053	1	0	20000	other	0
8042	29	Response	1	514401	7928	0	NA	NA	NA	NA	NA	NA
8042	30	Picture	fix1	526693	0	1	10026	1	0	10000	other	0
8042	31	Picture	ripn	536886	0	1	50132	1	0	50000	other	0
8042	32	Picture	ricordaneutral	587185	0	1	50132	1	0	50000	other	0
8042	33	Picture	avvneutral	637484	0	1	50132	1	0	50000	other	0
8042	34	Picture	cinque	687783	0	1	10027	1	0	10000	other	0
8042	35	Picture	quattro	697977	0	1	10026	1	0	10000	other	0
8042	36	Picture	tre	708170	0	1	10026	1	0	10000	other	0
8042	37	Picture	due	718364	0	1	10026	1	0	10000	other	0
8042	38	Picture	uno	728557	0	1	10026	1	0	10000	other	0
8042	39	Picture	zero	738751	0	1	10026	1	0	10000	other	0
8042	40	Picture	pazzo	748944	0	1	167	1	0	10	other	0
8042	41	Picture	NMBM	749278	0	1	20053	1	0	20000	other	0
8042	41	Response	1	756227	6949	0	NA	NA	NA	NA	NA	NA
8042	42	Picture	fix1	769498	0	1	10026	1	0	10000	other	0
8042	43	Picture	NMK	779692	0	1	20053	1	0	20000	other	0
8042	43	Response	1	788788	9097	0	NA	NA	NA	NA	NA	NA
8042	44	Picture	fix1	799912	0	1	10026	1	0	10000	other	0
8042	45	Picture	NWBM	810105	0	1	20053	1	0	20000	other	0
8042	45	Response	2	816684	6579	0	NA	NA	NA	NA	NA	NA
8042	46	Picture	fix1	830325	0	1	10026	1	0	10000	other	0
8042	47	Picture	NWK	840518	0	1	20053	1	0	20000	other	0
8042	47	Response	2	848152	7634	0	NA	NA	NA	NA	NA	NA
8042	48	Picture	fix1	860738	0	1	10026	1	0	10000	other	0
8042	49	Picture	NMBK	870932	0	1	20053	1	0	20000	other	0
8042	49	Response	2	879521	8590	0	NA	NA	NA	NA	NA	NA
8042	50	Picture	fix1	891152	0	1	10026	1	0	10000	other	0
8042	51	Picture	NWM	901345	0	1	20053	1	0	20000	other	0
8042	51	Response	2	909201	7856	0	NA	NA	NA	NA	NA	NA
8042	52	Picture	fix1	921565	0	1	10026	1	0	10000	other	0
8042	53	Picture	NMM	931758	0	1	20053	1	0	20000	other	0
8042	53	Response	1	938982	7223	0	NA	NA	NA	NA	NA	NA
8042	54	Picture	fix1	951978	0	1	10026	1	0	10000	other	0
8042	55	Picture	NWBK	962172	0	1	20053	1	0	20000	other	0
8042	55	Response	2	968861	6689	0	NA	NA	NA	NA	NA	NA
8042	56	Picture	fix1	982392	0	1	10026	1	0	10000	other	0
8042	57	Picture	NMBM	992585	0	1	20053	1	0	20000	other	0
8042	57	Response	1	1000826	8241	0	NA	NA	NA	NA	NA	NA
8042	58	Picture	fix1	1012805	0	1	10026	1	0	10000	other	0
8042	59	Picture	NMK	1022999	0	1	20053	1	0	20000	other	0
8042	59	Response	1	1030803	7804	0	NA	NA	NA	NA	NA	NA
8042	60	Picture	fix1	1043218	0	1	10026	1	0	10000	other	0
8042	61	Picture	NWBM	1053412	0	1	20053	1	0	20000	other	0
8042	61	Response	2	1061871	8459	0	NA	NA	NA	NA	NA	NA
8042	62	Picture	fix1	1073632	0	1	10026	1	0	10000	other	0
8042	63	Picture	NWK	1083825	0	1	20053	1	0	20000	other	0
8042	63	Response	2	1091251	7426	0	NA	NA	NA	NA	NA	NA
8042	64	Picture	fix1	1104045	0	1	10026	1	0	10000	other	0
8042	65	Picture	NMBK	1114239	0	1	20053	1	0	20000	other	0
8042	65	Response	1	1122220	7981	0	NA	NA	NA	NA	NA	NA
8042	66	Picture	fix1	1134459	0	1	10026	1	0	10000	other	0
8042	67	Picture	NWM	1144652	0	1	20053	1	0	20000	other	0
8042	67	Response	2	1152790	8138	0	NA	NA	NA	NA	NA	NA
8042	68	Picture	fix1	1164872	0	1	10026	1	0	10000	other	0
8042	69	Picture	NMM	1175065	0	1	20053	1	0	20000	other	0
8042	69	Response	1	1182171	7106	0	NA	NA	NA	NA	NA	NA
8042	70	Picture	fix1	1195285	0	1	10026	1	0	10000	other	0
8042	71	Picture	NWBK	1205479	0	1	20053	1	0	20000	other	0
8042	71	Response	2	1213635	8156	0	NA	NA	NA	NA	NA	NA
8042	72	Picture	fix1	1225699	0	1	10026	1	0	10000	other	0
8042	73	Picture	NMBM	1235892	0	1	20053	1	0	20000	other	0
8042	73	Response	1	1245993	10101	0	NA	NA	NA	NA	NA	NA
8042	74	Picture	fix1	1256112	0	1	10026	1	0	10000	other	0
8042	75	Picture	NMK	1266306	0	1	20053	1	0	20000	other	0
8042	75	Response	1	1274975	8670	0	NA	NA	NA	NA	NA	NA
8042	76	Picture	fix1	1286525	0	1	10026	1	0	10000	other	0
8042	77	Picture	NWBM	1296719	0	1	20053	1	0	20000	other	0
