Subject	Trial	Event Type	Code	Time	TTime	Uncertainty...7	Duration	Uncertainty...9	ReqTime	ReqDur	Stim Type	Pair Index
21	1	Picture	ripnp	10167	0	1	50132	1	0	50000	other	0
21	2	Picture	ricordaneutralprova	60466	0	1	50132	1	0	50000	other	0
21	3	Picture	tre	110765	0	1	10026	1	0	10000	other	0
21	4	Picture	due	120958	0	1	10026	1	0	10000	other	0
21	5	Picture	uno	131151	0	1	10026	1	0	10000	other	0
21	6	Picture	zero	141345	0	1	10026	1	0	10000	other	0
21	7	Picture	neutraltest	151538	0	1	167	1	0	10	other	0
21	8	Picture	NMM	151872	0	1	20053	1	0	20000	other	0
21	9	Picture	fix1	172092	0	1	10026	1	0	10000	other	0
21	10	Picture	NWK	182286	0	1	20053	1	0	20000	other	0
21	10	Response	1	196180	13895	0	NA	NA	NA	NA	NA	NA
21	11	Picture	fix1	202506	0	1	10026	1	0	10000	other	0
21	12	Picture	NMK	212699	0	1	20053	1	0	20000	other	0
21	13	Picture	fix1	232919	0	1	10026	1	0	10000	other	0
21	14	Picture	NWBK	243112	0	1	20053	1	0	20000	other	0
21	14	Response	2	250147	7034	0	NA	NA	NA	NA	NA	NA
21	15	Picture	fix1	263332	0	1	10026	1	0	10000	other	0
21	16	Picture	ripfp	273525	0	1	50132	1	0	50000	other	0
21	17	Picture	ricordafacceprova	323824	0	1	50132	1	0	50000	other	0
21	18	Picture	tre	374123	0	1	10026	1	0	10000	other	0
21	19	Picture	due	384317	0	1	10026	1	0	10000	other	0
21	20	Picture	uno	394510	0	1	10026	1	0	10000	other	0
21	21	Picture	zero	404703	0	1	10026	1	0	10000	other	0
21	22	Picture	faccetest	414897	0	1	167	1	0	10	other	0
21	23	Picture	FMG	415231	0	1	20053	1	0	20000	other	0
21	23	Response	2	423753	8522	0	NA	NA	NA	NA	NA	NA
21	24	Picture	fix1	435451	0	1	10026	1	0	10000	other	0
21	25	Picture	FWR	445644	0	1	20053	1	0	20000	other	0
21	25	Response	2	452325	6681	0	NA	NA	NA	NA	NA	NA
21	26	Picture	fix1	465864	0	1	10026	1	0	10000	other	0
21	27	Picture	HWG	476058	0	1	20053	1	0	20000	other	0
21	27	Response	1	480699	4641	0	NA	NA	NA	NA	NA	NA
21	28	Picture	fix1	496277	0	1	10026	1	0	10000	other	0
21	29	Picture	HMR	506471	0	1	20053	1	0	20000	other	0
21	29	Response	1	512050	5579	0	NA	NA	NA	NA	NA	NA
21	30	Picture	fix1	526691	0	1	10026	1	0	10000	other	0
21	31	Picture	ripn	536884	0	1	50132	1	0	50000	other	0
21	32	Picture	ricordaneutral	587183	0	1	50132	1	0	50000	other	0
21	33	Picture	avvneutral	637482	0	1	50132	1	0	50000	other	0
21	34	Picture	cinque	687780	0	1	10026	1	0	10000	other	0
21	35	Picture	quattro	697974	0	1	10026	1	0	10000	other	0
