Subject	Trial	Event Type	Code	Time	TTime	Uncertainty...7	Duration	Uncertainty...9	ReqTime	ReqDur	Stim Type	Pair Index
SB3_018	1	Picture	ripnp	10167	0	1	50131	1	0	50000	other	0
SB3_018	2	Picture	ricordaneutralprova	60465	0	1	50131	1	0	50000	other	0
SB3_018	3	Picture	tre	110763	0	1	10026	1	0	10000	other	0
SB3_018	4	Picture	due	120957	0	1	10026	1	0	10000	other	0
SB3_018	5	Picture	uno	131150	0	1	10026	1	0	10000	other	0
SB3_018	6	Picture	zero	141343	0	1	10026	1	0	10000	other	0
SB3_018	7	Picture	neutraltest	151537	0	1	167	1	0	10	other	0
SB3_018	8	Picture	NMM	151871	0	1	20053	1	0	20000	other	0
SB3_018	9	Picture	fix1	172090	0	1	10026	1	0	10000	other	0
SB3_018	10	Picture	NWK	182284	0	1	20052	1	0	20000	other	0
SB3_018	10	Response	2	189593	7309	0	NA	NA	NA	NA	NA	NA
SB3_018	11	Picture	fix1	202503	0	1	10026	1	0	10000	other	0
SB3_018	12	Picture	NMK	212697	0	1	20053	1	0	20000	other	0
SB3_018	12	Response	1	222546	9850	0	NA	NA	NA	NA	NA	NA
SB3_018	13	Picture	fix1	232916	0	1	10026	1	0	10000	other	0
SB3_018	14	Picture	NWBK	243109	0	1	20052	1	0	20000	other	0
SB3_018	14	Response	2	249138	6028	0	NA	NA	NA	NA	NA	NA
SB3_018	15	Picture	fix1	263329	0	1	10026	1	0	10000	other	0
SB3_018	16	Picture	ripfp	273522	0	1	50131	1	0	50000	other	0
SB3_018	17	Picture	ricordafacceprova	323820	0	1	50131	1	0	50000	other	0
SB3_018	18	Picture	tre	374119	0	1	10026	1	0	10000	other	0
SB3_018	19	Picture	due	384312	0	1	10026	1	0	10000	other	0
SB3_018	20	Picture	uno	394505	0	1	10026	1	0	10000	other	0
SB3_018	21	Picture	zero	404699	0	1	10026	1	0	10000	other	0
SB3_018	22	Picture	faccetest	414892	0	1	167	1	0	10	other	0
SB3_018	23	Picture	FMG	415226	0	1	20052	1	0	20000	other	0
SB3_018	23	Response	2	422641	7415	0	NA	NA	NA	NA	NA	NA
SB3_018	24	Picture	fix1	435446	0	1	10026	1	0	10000	other	0
SB3_018	25	Picture	FWR	445639	0	1	20053	1	0	20000	other	0
SB3_018	25	Response	2	454802	9162	0	NA	NA	NA	NA	NA	NA
SB3_018	26	Picture	fix1	465859	0	1	10026	1	0	10000	other	0
SB3_018	27	Picture	HWG	476052	0	1	20052	1	0	20000	other	0
SB3_018	27	Response	1	481890	5838	0	NA	NA	NA	NA	NA	NA
SB3_018	28	Picture	fix1	496272	0	1	10026	1	0	10000	other	0
SB3_018	29	Picture	HMR	506465	0	1	20052	1	0	20000	other	0
SB3_018	29	Response	1	513560	7095	0	NA	NA	NA	NA	NA	NA
SB3_018	30	Picture	fix1	526684	0	1	10026	1	0	10000	other	0
SB3_018	31	Picture	ripn	536878	0	1	50131	1	0	50000	other	0
SB3_018	32	Picture	ricordaneutral	587176	0	1	50131	1	0	50000	other	0
SB3_018	33	Picture	avvneutral	637474	0	1	50131	1	0	50000	other	0
SB3_018	34	Picture	cinque	687772	0	1	10026	1	0	10000	other	0
SB3_018	35	Picture	quattro	697966	0	1	10026	1	0	10000	other	0
SB3_018	36	Picture	tre	708159	0	1	10026	1	0	10000	other	0
SB3_018	37	Picture	due	718352	0	1	10026	1	0	10000	other	0
SB3_018	38	Picture	uno	728546	0	1	10026	1	0	10000	other	0
SB3_018	39	Picture	zero	738739	0	1	10026	1	0	10000	other	0
SB3_018	40	Picture	pazzo	748932	0	1	167	1	0	10	other	0
SB3_018	41	Picture	NMBM	749267	0	1	20053	1	0	20000	other	0
SB3_018	41	Response	1	754190	4924	0	NA	NA	NA	NA	NA	NA
SB3_018	42	Picture	fix1	769486	0	1	10026	1	0	10000	other	0
SB3_018	43	Picture	NMK	779679	0	1	20053	1	0	20000	other	0
SB3_018	43	Response	1	789350	9671	0	NA	NA	NA	NA	NA	NA
SB3_018	44	Picture	fix1	799899	0	1	10026	1	0	10000	other	0
SB3_018	45	Picture	NWBM	810092	0	1	20052	1	0	20000	other	0
SB3_018	45	Response	2	817438	7346	0	NA	NA	NA	NA	NA	NA
SB3_018	46	Picture	fix1	830312	0	1	10026	1	0	10000	other	0
SB3_018	47	Picture	NWK	840505	0	1	20053	1	0	20000	other	0
SB3_018	47	Response	2	845725	5220	0	NA	NA	NA	NA	NA	NA
SB3_018	48	Picture	fix1	860725	0	1	10026	1	0	10000	other	0
SB3_018	49	Picture	NMBK	870918	0	1	20053	1	0	20000	other	0
SB3_018	49	Response	1	877995	7077	0	NA	NA	NA	NA	NA	NA
SB3_018	50	Picture	fix1	891138	0	1	10026	1	0	10000	other	0
SB3_018	51	Picture	NWM	901331	0	1	20052	1	0	20000	other	0
SB3_018	51	Response	2	908574	7243	0	NA	NA	NA	NA	NA	NA
SB3_018	52	Picture	fix1	921551	0	1	10026	1	0	10000	other	0
SB3_018	53	Picture	NMM	931744	0	1	20052	1	0	20000	other	0
SB3_018	53	Response	1	937459	5715	0	NA	NA	NA	NA	NA	NA
SB3_018	54	Picture	fix1	951963	0	1	10026	1	0	10000	other	0
SB3_018	55	Picture	NWBK	962157	0	1	20053	1	0	20000	other	0
SB3_018	55	Response	2	967738	5582	0	NA	NA	NA	NA	NA	NA
SB3_018	56	Picture	fix1	982376	0	1	10026	1	0	10000	other	0
SB3_018	57	Picture	NMBM	992570	0	1	20052	1	0	20000	other	0
SB3_018	57	Response	1	999115	6545	0	NA	NA	NA	NA	NA	NA
