Subject	Trial	Event Type	Code	Time	TTime	Uncertainty...7	Duration	Uncertainty...9	ReqTime	ReqDur	Stim Type	Pair Index
5	1	Picture	ripnp	10143	0	1	50131	1	0	50000	other	0
5	2	Picture	ricordaneutralprova	60441	0	1	50131	1	0	50000	other	0
5	3	Picture	tre	110738	0	1	10026	1	0	10000	other	0
5	4	Picture	due	120932	0	1	10026	1	0	10000	other	0
5	5	Picture	uno	131125	0	1	10026	1	0	10000	other	0
5	6	Picture	zero	141318	0	1	10026	1	0	10000	other	0
5	7	Picture	neutraltest	151511	0	1	167	1	0	10	other	0
5	8	Picture	NMM	151846	0	1	20052	1	0	20000	other	0
5	8	Response	1	160185	8339	0	NA	NA	NA	NA	NA	NA
5	9	Picture	fix1	172065	0	1	10026	1	0	10000	other	0
5	10	Picture	NWK	182258	0	1	20052	1	0	20000	other	0
5	10	Response	2	188889	6631	0	NA	NA	NA	NA	NA	NA
5	11	Picture	fix1	202477	0	1	10026	1	0	10000	other	0
5	12	Picture	NMK	212671	0	1	20052	1	0	20000	other	0
5	12	Response	1	223776	11106	0	NA	NA	NA	NA	NA	NA
5	13	Picture	fix1	232890	0	1	10026	1	0	10000	other	0
5	14	Picture	NWBK	243083	0	1	20052	1	0	20000	other	0
5	14	Response	2	250694	7611	0	NA	NA	NA	NA	NA	NA
5	15	Picture	fix1	263303	0	1	10026	1	0	10000	other	0
5	16	Picture	ripfp	273496	0	1	50131	1	0	50000	other	0
5	17	Picture	ricordafacceprova	323794	0	1	50131	1	0	50000	other	0
5	18	Picture	tre	374091	0	1	10026	1	0	10000	other	0
5	19	Picture	due	384285	0	1	10026	1	0	10000	other	0
5	20	Picture	uno	394478	0	1	10026	1	0	10000	other	0
5	21	Picture	zero	404671	0	1	10026	1	0	10000	other	0
5	22	Picture	faccetest	414864	0	1	167	1	0	10	other	0
5	23	Picture	FMG	415199	0	1	20052	1	0	20000	other	0
5	23	Response	2	426778	11579	0	NA	NA	NA	NA	NA	NA
5	24	Picture	fix1	435418	0	1	10026	1	0	10000	other	0
5	25	Picture	FWR	445611	0	1	20052	1	0	20000	other	0
5	25	Response	2	456391	10779	0	NA	NA	NA	NA	NA	NA
5	26	Picture	fix1	465831	0	1	10026	1	0	10000	other	0
5	27	Picture	HWG	476024	0	1	20052	1	0	20000	other	0
5	27	Response	1	483423	7399	0	NA	NA	NA	NA	NA	NA
5	28	Picture	fix1	496243	0	1	10026	1	0	10000	other	0
5	29	Picture	HMR	506436	0	1	20052	1	0	20000	other	0
5	29	Response	1	517710	11274	0	NA	NA	NA	NA	NA	NA
5	30	Picture	fix1	526656	0	1	10026	1	0	10000	other	0
5	31	Picture	ripn	536849	0	1	50131	1	0	50000	other	0
5	32	Picture	ricordaneutral	587147	0	1	50131	1	0	50000	other	0
5	33	Picture	avvneutral	637445	0	1	50131	1	0	50000	other	0
5	34	Picture	cinque	687742	0	1	10026	1	0	10000	other	0
5	35	Picture	quattro	697936	0	1	10026	1	0	10000	other	0
5	36	Picture	tre	708129	0	1	10026	1	0	10000	other	0
5	37	Picture	due	718322	0	1	10026	1	0	10000	other	0
5	38	Picture	uno	728515	0	1	10026	1	0	10000	other	0
