Subject	Trial	Event Type	Code	Time	TTime	Uncertainty...7	Duration	Uncertainty...9	ReqTime	ReqDur	Stim Type	Pair Index
5	1	Picture	ripnp	10167	0	1	50131	1	0	50000	other	0
5	2	Picture	ricordaneutralprova	60465	0	1	50131	1	0	50000	other	0
5	3	Picture	tre	110763	0	1	10026	1	0	10000	other	0
5	4	Picture	due	120956	0	1	10026	1	0	10000	other	0
5	5	Picture	uno	131149	0	1	10026	1	0	10000	other	0
5	6	Picture	zero	141343	0	1	10026	1	0	10000	other	0
5	7	Picture	neutraltest	151536	0	1	167	1	0	10	other	0
5	8	Picture	NMM	151870	0	1	20052	1	0	20000	other	0
5	8	Response	1	164229	12359	0	NA	NA	NA	NA	NA	NA
5	9	Picture	fix1	172089	0	1	10026	1	0	10000	other	0
5	10	Picture	NWK	182283	0	1	20052	1	0	20000	other	0
5	10	Response	2	195534	13252	0	NA	NA	NA	NA	NA	NA
5	11	Picture	fix1	202502	0	1	10026	1	0	10000	other	0
5	12	Picture	NMK	212695	0	1	20052	1	0	20000	other	0
5	12	Response	1	225842	13147	0	NA	NA	NA	NA	NA	NA
5	13	Picture	fix1	232915	0	1	10026	1	0	10000	other	0
5	14	Picture	NWBK	243108	0	1	20052	1	0	20000	other	0
5	14	Response	2	254058	10950	0	NA	NA	NA	NA	NA	NA
5	15	Picture	fix1	263328	0	1	10026	1	0	10000	other	0
5	16	Picture	ripfp	273521	0	1	50131	1	0	50000	other	0
5	17	Picture	ricordafacceprova	323819	0	1	50131	1	0	50000	other	0
5	18	Picture	tre	374117	0	1	10026	1	0	10000	other	0
5	19	Picture	due	384310	0	1	10026	1	0	10000	other	0
5	20	Picture	uno	394503	0	1	10026	1	0	10000	other	0
5	21	Picture	zero	404696	0	1	10026	1	0	10000	other	0
5	22	Picture	faccetest	414890	0	1	167	1	0	10	other	0
5	23	Picture	FMG	415224	0	1	20052	1	0	20000	other	0
5	23	Response	2	426852	11629	0	NA	NA	NA	NA	NA	NA
5	24	Picture	fix1	435443	0	1	10026	1	0	10000	other	0
5	25	Picture	FWR	445636	0	1	20052	1	0	20000	other	0
5	26	Picture	fix1	465856	0	1	10026	1	0	10000	other	0
5	26	Response	2	475617	9761	0	NA	NA	NA	NA	NA	NA
5	27	Picture	HWG	476049	0	1	20052	1	0	20000	other	0
5	27	Response	1	483396	7347	0	NA	NA	NA	NA	NA	NA
5	28	Picture	fix1	496269	0	1	10026	1	0	10000	other	0
5	29	Picture	HMR	506462	0	1	20052	1	0	20000	other	0
5	29	Response	1	516406	9944	0	NA	NA	NA	NA	NA	NA
5	30	Picture	fix1	526681	0	1	10026	1	0	10000	other	0
5	31	Picture	ripn	536875	0	1	50131	1	0	50000	other	0
5	32	Picture	ricordaneutral	587173	0	1	50131	1	0	50000	other	0
5	33	Picture	avvneutral	637470	0	1	50131	1	0	50000	other	0
5	34	Picture	cinque	687768	0	1	10026	1	0	10000	other	0
5	35	Picture	quattro	697962	0	1	10026	1	0	10000	other	0
5	36	Picture	tre	708155	0	1	10026	1	0	10000	other	0
5	37	Picture	due	718348	0	1	10026	1	0	10000	other	0
5	38	Picture	uno	728541	0	1	10026	1	0	10000	other	0
5	39	Picture	zero	738735	0	1	10026	1	0	10000	other	0
5	40	Picture	pazzo	748928	0	1	167	1	0	10	other	0
