Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty_1	ReqTime	ReqDur	Stim Type	Pair Index
8048	1	Picture	ripnp	10166	0	1	50120	1	0	50000	other	0
8048	2	Picture	ricordaneutralprova	60452	0	1	50120	1	0	50000	other	0
8048	3	Picture	tre	110738	0	1	10157	1	0	10000	other	0
8048	4	Picture	due	121062	0	1	10157	1	0	10000	other	0
8048	5	Picture	uno	131386	0	1	10157	1	0	10000	other	0
8048	6	Picture	zero	141709	0	1	10157	1	0	10000	other	0
8048	7	Picture	neutraltest	152033	0	1	167	1	0	10	other	0
8048	8	Picture	NMM	152533	0	1	20148	1	0	20000	other	0
8048	9	Picture	fix1	172847	0	1	10157	1	0	10000	other	0
8048	10	Picture	NWK	183337	0	1	20148	1	0	20000	other	0
8048	10	Response	2	191461	8124	0	NA	NA	NA	NA	NA	NA
8048	11	Picture	fix1	203651	0	1	10157	1	0	10000	other	0
8048	12	Picture	NMK	214141	0	1	20148	1	0	20000	other	0
8048	12	Response	1	222443	8301	0	NA	NA	NA	NA	NA	NA
8048	13	Picture	fix1	234456	0	1	10157	1	0	10000	other	0
8048	14	Picture	NWBK	244779	0	1	20148	1	0	20000	other	0
8048	14	Response	2	251740	6960	0	NA	NA	NA	NA	NA	NA
8048	15	Picture	fix1	265093	0	1	10157	1	0	10000	other	0
8048	16	Picture	ripfp	275417	0	1	50120	1	0	50000	other	0
8048	17	Picture	ricordafacceprova	325703	0	1	50120	1	0	50000	other	0
8048	18	Picture	tre	375989	0	1	10157	1	0	10000	other	0
8048	19	Picture	due	386313	0	1	10157	1	0	10000	other	0
8048	20	Picture	uno	396637	0	1	10157	1	0	10000	other	0
8048	21	Picture	zero	406960	0	1	10157	1	0	10000	other	0
8048	22	Picture	faccetest	417284	0	1	166	1	0	10	other	0
8048	23	Picture	FMG	417617	0	1	20148	1	0	20000	other	0
8048	23	Response	2	426092	8475	0	NA	NA	NA	NA	NA	NA
8048	24	Picture	fix1	437931	0	1	10157	1	0	10000	other	0
8048	25	Picture	FWR	448255	0	1	20148	1	0	20000	other	0
8048	25	Response	2	455961	7706	0	NA	NA	NA	NA	NA	NA
8048	26	Picture	fix1	468569	0	1	10157	1	0	10000	other	0
8048	27	Picture	HWG	479059	0	1	20148	1	0	20000	other	0
8048	27	Response	1	488513	9454	0	NA	NA	NA	NA	NA	NA
8048	28	Picture	fix1	499373	0	1	10157	1	0	10000	other	0
8048	29	Picture	HMR	509697	0	1	20148	1	0	20000	other	0
8048	29	Response	1	518382	8685	0	NA	NA	NA	NA	NA	NA
8048	30	Picture	fix1	530011	0	1	10157	1	0	10000	other	0
8048	31	Picture	ripn	540335	0	1	50120	1	0	50000	other	0
8048	32	Picture	ricordaneutral	590621	0	1	50120	1	0	50000	other	0
8048	33	Picture	avvneutral	640907	0	1	50120	1	0	50000	other	0
8048	34	Picture	cinque	691193	0	1	10157	1	0	10000	other	0
8048	35	Picture	quattro	701517	0	1	10157	1	0	10000	other	0
8048	36	Picture	tre	711841	0	1	10157	1	0	10000	other	0
8048	37	Picture	due	722164	0	1	10157	1	0	10000	other	0
8048	38	Picture	uno	732488	0	1	10156	1	0	10000	other	0
8048	39	Picture	zero	742811	0	1	10157	1	0	10000	other	0
8048	40	Picture	pazzo	753135	0	1	167	1	0	10	other	0
8048	41	Picture	NMBM	753468	0	1	20148	1	0	20000	other	0
8048	41	Response	1	760784	7316	0	NA	NA	NA	NA	NA	NA
8048	42	Picture	fix1	773782	0	1	10157	1	0	10000	other	0
8048	43	Picture	NMK	784106	0	1	20148	1	0	20000	other	0
8048	43	Response	1	793208	9102	0	NA	NA	NA	NA	NA	NA
8048	44	Picture	fix1	804420	0	1	10157	1	0	10000	other	0
8048	45	Picture	NWBM	814910	0	1	20148	1	0	20000	other	0
8048	45	Response	2	820705	5795	0	NA	NA	NA	NA	NA	NA
8048	46	Picture	fix1	835225	0	1	10156	1	0	10000	other	0
8048	47	Picture	NWK	845548	0	1	20148	1	0	20000	other	0
8048	47	Response	2	850834	5286	0	NA	NA	NA	NA	NA	NA
8048	48	Picture	fix1	865863	0	1	10157	1	0	10000	other	0
8048	49	Picture	NMBK	876186	0	1	20148	1	0	20000	other	0
8048	49	Response	1	884190	8004	0	NA	NA	NA	NA	NA	NA
8048	50	Picture	fix1	896500	0	1	10157	1	0	10000	other	0
8048	51	Picture	NWM	906824	0	1	20148	1	0	20000	other	0
8048	51	Response	2	911901	5077	0	NA	NA	NA	NA	NA	NA
8048	52	Picture	fix1	927138	0	1	10157	1	0	10000	other	0
8048	53	Picture	NMM	937462	0	1	20148	1	0	20000	other	0
8048	53	Response	1	944377	6915	0	NA	NA	NA	NA	NA	NA
8048	54	Picture	fix1	957776	0	1	10157	1	0	10000	other	0
8048	55	Picture	NWBK	968100	0	1	20146	2	0	20000	other	0
8048	55	Response	2	973363	5264	0	NA	NA	NA	NA	NA	NA
8048	56	Picture	fix1	988414	0	1	10157	1	0	10000	other	0
8048	57	Picture	NMBM	998738	0	1	20148	1	0	20000	other	0
8048	57	Response	1	1005662	6924	0	NA	NA	NA	NA	NA	NA
8048	58	Picture	fix1	1019052	0	1	10157	1	0	10000	other	0
8048	59	Picture	NMK	1029376	0	1	20148	1	0	20000	other	0
8048	59	Response	1	1037122	7747	0	NA	NA	NA	NA	NA	NA
8048	60	Picture	fix1	1049688	0	2	10159	2	0	10000	other	0
8048	61	Picture	NWBM	1060013	0	1	20148	1	0	20000	other	0
8048	61	Response	2	1067955	7941	0	NA	NA	NA	NA	NA	NA
8048	62	Picture	fix1	1080328	0	1	10157	1	0	10000	other	0
8048	63	Picture	NWK	1090818	0	1	20148	1	0	20000	other	0
8048	63	Response	2	1098556	7738	0	NA	NA	NA	NA	NA	NA
8048	64	Picture	fix1	1111132	0	1	10157	1	0	10000	other	0
8048	65	Picture	NMBK	1121456	0	1	20148	1	0	20000	other	0
8048	65	Response	1	1130663	9208	0	NA	NA	NA	NA	NA	NA
8048	66	Picture	fix1	1141770	0	1	10157	1	0	10000	other	0
8048	67	Picture	NWM	1152094	0	1	20148	1	0	20000	other	0
8048	67	Response	2	1158909	6815	0	NA	NA	NA	NA	NA	NA
8048	68	Picture	fix1	1172408	0	1	10157	1	0	10000	other	0
8048	69	Picture	NMM	1182732	0	1	19981	1	0	20000	other	0
8048	69	Response	1	1191210	8479	0	NA	NA	NA	NA	NA	NA
8048	70	Picture	fix1	1203212	0	1	10156	1	0	10000	other	0
8048	71	Picture	NWBK	1213536	0	1	20148	1	0	20000	other	0
8048	71	Response	2	1220461	6925	0	NA	NA	NA	NA	NA	NA
8048	72	Picture	fix1	1233850	0	1	10157	1	0	10000	other	0
8048	73	Picture	NMBM	1244174	0	1	20148	1	0	20000	other	0
8048	73	Response	1	1252619	8445	0	NA	NA	NA	NA	NA	NA
8048	74	Picture	fix1	1264488	0	1	10157	1	0	10000	other	0
8048	75	Picture	NMK	1274812	0	1	20148	1	0	20000	other	0
8048	75	Response	1	1285729	10918	0	NA	NA	NA	NA	NA	NA
8048	76	Picture	fix1	1295126	0	1	10157	1	0	10000	other	0
8048	77	Picture	NWBM	1305450	0	1	20148	1	0	20000	other	0
8048	77	Response	2	1313658	8209	0	NA	NA	NA	NA	NA	NA
8048	78	Picture	fix1	1325764	0	1	10157	1	0	10000	other	0
8048	79	Picture	NWK	1336088	0	1	20148	1	0	20000	other	0
8048	79	Response	2	1343402	7314	0	NA	NA	NA	NA	NA	NA
8048	80	Picture	fix1	1356402	0	1	10157	1	0	10000	other	0
8048	81	Picture	NMBK	1366725	0	1	20148	1	0	20000	other	0
8048	81	Response	1	1374265	7540	0	NA	NA	NA	NA	NA	NA
8048	82	Picture	fix1	1387040	0	1	10157	1	0	10000	other	0
8048	83	Picture	NWM	1397363	0	1	20148	1	0	20000	other	0
8048	83	Response	2	1403641	6278	0	NA	NA	NA	NA	NA	NA
8048	84	Picture	fix1	1417678	0	1	10157	1	0	10000	other	0
8048	85	Picture	NMM	1428001	0	1	20148	1	0	20000	other	0
8048	85	Response	1	1435165	7164	0	NA	NA	NA	NA	NA	NA
8048	86	Picture	fix1	1448315	0	1	10157	1	0	10000	other	0
8048	87	Picture	NWBK	1458639	0	1	20148	1	0	20000	other	0
8048	87	Response	2	1465856	7217	0	NA	NA	NA	NA	NA	NA
8048	88	Picture	fix1	1478953	0	1	10157	1	0	10000	other	0
8048	89	Picture	NMBM	1489277	0	1	20148	1	0	20000	other	0
8048	89	Response	1	1496485	7208	0	NA	NA	NA	NA	NA	NA
8048	90	Picture	fix1	1509591	0	1	10157	1	0	10000	other	0
8048	91	Picture	NMK	1519915	0	1	20148	1	0	20000	other	0
8048	91	Response	1	1528431	8516	0	NA	NA	NA	NA	NA	NA
8048	92	Picture	fix1	1540229	0	1	10157	1	0	10000	other	0
8048	93	Picture	NWBM	1550553	0	1	20148	1	0	20000	other	0
8048	93	Response	2	1557465	6913	0	NA	NA	NA	NA	NA	NA
8048	94	Picture	fix1	1570867	0	1	10157	1	0	10000	other	0
8048	95	Picture	NWK	1581191	0	1	20148	1	0	20000	other	0
8048	95	Response	2	1588127	6936	0	NA	NA	NA	NA	NA	NA
8048	96	Picture	fix1	1601505	0	1	10157	1	0	10000	other	0
8048	97	Picture	NMBK	1611829	0	1	20148	1	0	20000	other	0
8048	97	Response	1	1621040	9212	0	NA	NA	NA	NA	NA	NA
8048	98	Picture	fix1	1632143	0	1	10157	1	0	10000	other	0
