Subject	Trial	Event Type	Code	Time	TTime	Uncertainty...7	Duration	Uncertainty...9	ReqTime	ReqDur	Stim Type	Pair Index
8	1	Picture	ripnp	10167	0	1	50131	1	0	50000	other	0
8	2	Picture	ricordaneutralprova	60466	0	1	50131	1	0	50000	other	0
8	3	Picture	tre	110764	0	1	10026	1	0	10000	other	0
8	4	Picture	due	120958	0	1	10026	1	0	10000	other	0
8	5	Picture	uno	131151	0	1	10026	1	0	10000	other	0
8	6	Picture	zero	141344	0	1	10026	1	0	10000	other	0
8	7	Picture	neutraltest	151521	0	18	184	18	0	10	other	0
8	8	Picture	NMM	151872	0	1	20053	1	0	20000	other	0
8	8	Response	1	165183	13311	0	NA	NA	NA	NA	NA	NA
8	9	Picture	fix1	172092	0	1	10026	1	0	10000	other	0
8	10	Picture	NWK	182285	0	1	20053	1	0	20000	other	0
8	10	Response	2	189732	7447	0	NA	NA	NA	NA	NA	NA
8	11	Picture	fix1	202505	0	1	10026	1	0	10000	other	0
8	12	Picture	NMK	212698	0	1	20053	1	0	20000	other	0
8	12	Response	1	223937	11239	0	NA	NA	NA	NA	NA	NA
8	13	Picture	fix1	232918	0	1	10026	1	0	10000	other	0
8	14	Picture	NWBK	243111	0	1	20053	1	0	20000	other	0
8	14	Response	2	247104	3993	0	NA	NA	NA	NA	NA	NA
8	15	Picture	fix1	263331	0	1	10026	1	0	10000	other	0
8	16	Picture	ripfp	273524	0	1	50131	1	0	50000	other	0
8	17	Picture	ricordafacceprova	323823	0	1	50131	1	0	50000	other	0
8	17	Response	1	365619	41796	0	NA	NA	NA	NA	NA	NA
8	18	Picture	tre	374122	0	1	10026	1	0	10000	other	0
8	19	Picture	due	384315	0	1	10026	1	0	10000	other	0
8	20	Picture	uno	394508	0	1	10026	1	0	10000	other	0
8	21	Picture	zero	404702	0	1	10026	1	0	10000	other	0
8	22	Picture	faccetest	414895	0	1	167	1	0	10	other	0
8	23	Picture	FMG	415229	0	1	20053	1	0	20000	other	0
8	23	Response	2	429055	13825	0	NA	NA	NA	NA	NA	NA
8	24	Picture	fix1	435449	0	1	10026	1	0	10000	other	0
8	25	Picture	FWR	445643	0	1	20053	1	0	20000	other	0
8	25	Response	2	453614	7971	0	NA	NA	NA	NA	NA	NA
8	26	Picture	fix1	465862	0	1	10026	1	0	10000	other	0
8	27	Picture	HWG	476056	0	1	20053	1	0	20000	other	0
8	27	Response	1	484635	8579	0	NA	NA	NA	NA	NA	NA
8	28	Picture	fix1	496275	0	1	10026	1	0	10000	other	0
8	29	Picture	HMR	506469	0	1	20053	1	0	20000	other	0
8	29	Response	1	512473	6005	0	NA	NA	NA	NA	NA	NA
8	30	Picture	fix1	526689	0	1	10026	1	0	10000	other	0
8	31	Picture	ripn	536882	0	1	50132	1	0	50000	other	0
8	32	Picture	ricordaneutral	587181	0	1	50132	1	0	50000	other	0
8	33	Picture	avvneutral	637479	0	1	50131	1	0	50000	other	0
8	34	Picture	cinque	687778	0	1	10026	1	0	10000	other	0
8	35	Picture	quattro	697971	0	1	10026	1	0	10000	other	0
8	36	Picture	tre	708165	0	1	10026	1	0	10000	other	0
8	37	Picture	due	718358	0	1	10026	1	0	10000	other	0
8	38	Picture	uno	728551	0	1	10026	1	0	10000	other	0
8	39	Picture	zero	738745	0	1	10026	1	0	10000	other	0
8	40	Picture	pazzo	748938	0	1	167	1	0	10	other	0
8	41	Picture	NMBM	749272	0	1	20053	1	0	20000	other	0
8	41	Response	1	756158	6886	0	NA	NA	NA	NA	NA	NA
8	42	Picture	fix1	769492	0	1	10026	1	0	10000	other	0
8	43	Picture	NMK	779686	0	1	20053	1	0	20000	other	0
8	43	Response	1	792153	12467	0	NA	NA	NA	NA	NA	NA
8	44	Picture	fix1	799905	0	1	10026	1	0	10000	other	0
8	45	Picture	NWBM	810099	0	1	20053	1	0	20000	other	0
8	45	Response	2	817605	7506	0	NA	NA	NA	NA	NA	NA
8	46	Picture	fix1	830318	0	1	10026	1	0	10000	other	0
8	47	Picture	NWK	840512	0	1	20053	1	0	20000	other	0
8	47	Response	2	847534	7022	0	NA	NA	NA	NA	NA	NA
8	48	Picture	fix1	860732	0	1	10026	1	0	10000	other	0
8	49	Picture	NMBK	870925	0	1	20053	1	0	20000	other	0
8	49	Response	1	876468	5543	0	NA	NA	NA	NA	NA	NA
8	50	Picture	fix1	891145	0	1	10026	1	0	10000	other	0
8	51	Picture	NWM	901338	0	1	20053	1	0	20000	other	0
8	51	Response	2	905913	4575	0	NA	NA	NA	NA	NA	NA
8	52	Picture	fix1	921558	0	1	10026	1	0	10000	other	0
8	53	Picture	NMM	931751	0	1	20053	1	0	20000	other	0
