Subject	Trial	Event Type	Code	Time	TTime	Uncertainty...7	Duration	Uncertainty...9	ReqTime	ReqDur	Stim Type	Pair Index
004_2	1	Picture	ripnp	10167	0	1	50131	1	0	50000	other	0
004_2	2	Picture	ricordaneutralprova	60465	0	1	50131	1	0	50000	other	0
004_2	3	Picture	tre	110763	0	1	10026	1	0	10000	other	0
004_2	4	Picture	due	120957	0	1	10026	1	0	10000	other	0
004_2	5	Picture	uno	131150	0	1	10026	1	0	10000	other	0
004_2	6	Picture	zero	141343	0	1	10026	1	0	10000	other	0
004_2	7	Picture	neutraltest	151536	0	1	167	1	0	10	other	0
004_2	8	Picture	NMM	151871	0	1	20052	1	0	20000	other	0
004_2	8	Response	1	161906	10035	0	NA	NA	NA	NA	NA	NA
004_2	9	Picture	fix1	172090	0	1	10026	1	0	10000	other	0
004_2	10	Picture	NWK	182284	0	1	20052	1	0	20000	other	0
004_2	10	Response	2	189715	7432	0	NA	NA	NA	NA	NA	NA
004_2	11	Picture	fix1	202503	0	1	10026	1	0	10000	other	0
004_2	12	Picture	NMK	212696	0	1	20052	1	0	20000	other	0
004_2	12	Response	1	219936	7240	0	NA	NA	NA	NA	NA	NA
004_2	13	Picture	fix1	232916	0	1	10026	1	0	10000	other	0
004_2	14	Picture	NWBK	243109	0	1	20052	1	0	20000	other	0
004_2	14	Response	2	247748	4639	0	NA	NA	NA	NA	NA	NA
004_2	15	Picture	fix1	263329	0	1	10026	1	0	10000	other	0
004_2	16	Picture	ripfp	273522	0	1	50131	1	0	50000	other	0
004_2	17	Picture	ricordafacceprova	323820	0	1	50131	1	0	50000	other	0
004_2	18	Picture	tre	374118	0	1	10026	1	0	10000	other	0
004_2	19	Picture	due	384312	0	1	10026	1	0	10000	other	0
004_2	20	Picture	uno	394505	0	1	10026	1	0	10000	other	0
004_2	21	Picture	zero	404698	0	1	10026	1	0	10000	other	0
004_2	22	Picture	faccetest	414892	0	1	167	1	0	10	other	0
004_2	23	Picture	FMG	415226	0	1	20053	1	0	20000	other	0
004_2	23	Response	2	420916	5690	0	NA	NA	NA	NA	NA	NA
004_2	24	Picture	fix1	435445	0	1	10026	1	0	10000	other	0
004_2	25	Picture	FWR	445639	0	1	20052	1	0	20000	other	0
004_2	25	Response	2	451707	6068	0	NA	NA	NA	NA	NA	NA
004_2	26	Picture	fix1	465858	0	1	10026	1	0	10000	other	0
004_2	27	Picture	HWG	476052	0	1	20053	1	0	20000	other	0
004_2	27	Response	1	480515	4464	0	NA	NA	NA	NA	NA	NA
004_2	28	Picture	fix1	496271	0	1	10026	1	0	10000	other	0
004_2	29	Picture	HMR	506464	0	1	20052	1	0	20000	other	0
004_2	29	Response	1	509425	2960	0	NA	NA	NA	NA	NA	NA
004_2	30	Picture	fix1	526684	0	1	10026	1	0	10000	other	0
004_2	31	Picture	ripn	536877	0	1	50131	1	0	50000	other	0
004_2	32	Picture	ricordaneutral	587175	0	1	50131	1	0	50000	other	0
004_2	33	Picture	avvneutral	637474	0	1	50131	1	0	50000	other	0
004_2	34	Picture	cinque	687772	0	1	10026	1	0	10000	other	0
004_2	35	Picture	quattro	697965	0	1	10026	1	0	10000	other	0
004_2	36	Picture	tre	708158	0	1	10026	1	0	10000	other	0
004_2	37	Picture	due	718352	0	1	10026	1	0	10000	other	0
004_2	38	Picture	uno	728545	0	1	10026	1	0	10000	other	0
004_2	39	Picture	zero	738738	0	1	10026	1	0	10000	other	0
004_2	40	Picture	pazzo	748932	0	1	167	1	0	10	other	0
004_2	41	Picture	NMBM	749266	0	1	20052	1	0	20000	other	0
004_2	41	Response	1	754019	4754	0	NA	NA	NA	NA	NA	NA
004_2	42	Picture	fix1	769486	0	1	10026	1	0	10000	other	0
004_2	43	Picture	NMK	779679	0	1	20053	1	0	20000	other	0
004_2	43	Response	1	785524	5845	0	NA	NA	NA	NA	NA	NA
004_2	44	Picture	fix1	799898	0	1	10026	1	0	10000	other	0
004_2	45	Picture	NWBM	810092	0	1	20052	1	0	20000	other	0
004_2	45	Response	2	816654	6563	0	NA	NA	NA	NA	NA	NA
004_2	46	Picture	fix1	830311	0	1	10026	1	0	10000	other	0
004_2	47	Picture	NWK	840505	0	1	20052	1	0	20000	other	0
004_2	47	Response	2	844783	4279	0	NA	NA	NA	NA	NA	NA
004_2	48	Picture	fix1	860724	0	1	10026	1	0	10000	other	0
004_2	49	Picture	NMBK	870917	0	1	20052	1	0	20000	other	0
004_2	49	Response	1	877499	6582	0	NA	NA	NA	NA	NA	NA
004_2	50	Picture	fix1	891137	0	1	10026	1	0	10000	other	0
004_2	51	Picture	NWM	901330	0	1	20052	1	0	20000	other	0
004_2	51	Response	2	906737	5407	0	NA	NA	NA	NA	NA	NA
004_2	52	Picture	fix1	921550	0	1	10026	1	0	10000	other	0
004_2	53	Picture	NMM	931743	0	1	20053	1	0	20000	other	0
004_2	53	Response	1	936772	5028	0	NA	NA	NA	NA	NA	NA
004_2	54	Picture	fix1	951963	0	1	10026	1	0	10000	other	0
004_2	55	Picture	NWBK	962156	0	1	20052	1	0	20000	other	0
004_2	55	Response	2	966509	4353	0	NA	NA	NA	NA	NA	NA
004_2	56	Picture	fix1	982376	0	1	10026	1	0	10000	other	0
004_2	57	Picture	NMBM	992569	0	1	20052	1	0	20000	other	0
004_2	57	Response	1	997540	4972	0	NA	NA	NA	NA	NA	NA
004_2	58	Picture	fix1	1012788	0	1	10026	1	0	10000	other	0
004_2	59	Picture	NMK	1022982	0	1	20052	1	0	20000	other	0
004_2	59	Response	1	1029668	6686	0	NA	NA	NA	NA	NA	NA
004_2	60	Picture	fix1	1043201	0	1	10026	1	0	10000	other	0
004_2	61	Picture	NWBM	1053395	0	1	20052	1	0	20000	other	0
004_2	61	Response	2	1060503	7109	0	NA	NA	NA	NA	NA	NA
004_2	62	Picture	fix1	1073614	0	1	10026	1	0	10000	other	0
