Subject	Trial	Event Type	Code	Time	TTime	Uncertainty...7	Duration	Uncertainty...9	ReqTime	ReqDur	Stim Type	Pair Index
NA	1	Picture	ripnp	10167	0	1	50131	1	0	50000	other	0
NA	2	Picture	ricordaneutralprova	60466	0	1	50131	1	0	50000	other	0
NA	3	Picture	tre	110764	0	1	10026	1	0	10000	other	0
NA	4	Picture	due	120957	0	1	10026	1	0	10000	other	0
NA	5	Picture	uno	131151	0	1	10026	1	0	10000	other	0
NA	6	Picture	zero	141344	0	1	10026	1	0	10000	other	0
NA	7	Picture	neutraltest	151538	0	1	167	1	0	10	other	0
NA	8	Picture	NMM	151872	0	1	20053	1	0	20000	other	0
NA	8	Response	2	165726	13854	0	NA	NA	NA	NA	NA	NA
NA	9	Picture	fix1	172092	0	1	10026	1	0	10000	other	0
NA	10	Picture	NWK	182285	0	1	20053	1	0	20000	other	0
NA	10	Response	2	198729	16445	0	NA	NA	NA	NA	NA	NA
NA	11	Picture	fix1	202505	0	1	10026	1	0	10000	other	0
NA	12	Picture	NMK	212698	0	1	20053	1	0	20000	other	0
NA	12	Response	1	219938	7240	0	NA	NA	NA	NA	NA	NA
NA	13	Picture	fix1	232918	0	1	10026	1	0	10000	other	0
NA	14	Picture	NWBK	243111	0	1	20053	1	0	20000	other	0
NA	14	Response	2	250661	7550	0	NA	NA	NA	NA	NA	NA
NA	15	Picture	fix1	263331	0	1	10026	1	0	10000	other	0
NA	16	Picture	ripfp	273524	0	1	50131	1	0	50000	other	0
NA	17	Picture	ricordafacceprova	323823	0	1	50132	1	0	50000	other	0
NA	18	Picture	tre	374121	0	1	10026	1	0	10000	other	0
NA	19	Picture	due	384315	0	1	10026	1	0	10000	other	0
NA	20	Picture	uno	394508	0	1	10026	1	0	10000	other	0
NA	21	Picture	zero	404701	0	1	10026	1	0	10000	other	0
NA	22	Picture	faccetest	414895	0	1	167	1	0	10	other	0
NA	23	Picture	FMG	415229	0	1	20053	1	0	20000	other	0
NA	23	Response	2	421209	5980	0	NA	NA	NA	NA	NA	NA
NA	24	Picture	fix1	435449	0	1	10026	1	0	10000	other	0
NA	25	Picture	FWR	445642	0	1	20053	1	0	20000	other	0
NA	25	Response	2	452426	6784	0	NA	NA	NA	NA	NA	NA
NA	26	Picture	fix1	465862	0	1	10026	1	0	10000	other	0
NA	27	Picture	HWG	476055	0	1	20053	1	0	20000	other	0
NA	27	Response	1	482157	6102	0	NA	NA	NA	NA	NA	NA
NA	28	Picture	fix1	496275	0	1	10026	1	0	10000	other	0
NA	29	Picture	HMR	506468	0	1	20053	1	0	20000	other	0
NA	29	Response	1	512681	6213	0	NA	NA	NA	NA	NA	NA
NA	30	Picture	fix1	526688	0	1	10026	1	0	10000	other	0
NA	31	Picture	ripn	536881	0	1	50132	1	0	50000	other	0
NA	32	Picture	ricordaneutral	587180	0	1	50132	1	0	50000	other	0
NA	33	Picture	avvneutral	637479	0	1	50132	1	0	50000	other	0
NA	34	Picture	cinque	687777	0	1	10026	1	0	10000	other	0
NA	35	Picture	quattro	697971	0	1	10026	1	0	10000	other	0
NA	36	Picture	tre	708164	0	1	10026	1	0	10000	other	0
NA	37	Picture	due	718357	0	1	10026	1	0	10000	other	0
NA	38	Picture	uno	728551	0	1	10026	1	0	10000	other	0
NA	39	Picture	zero	738744	0	1	10026	1	0	10000	other	0
NA	40	Picture	pazzo	748938	0	1	167	1	0	10	other	0
NA	41	Picture	NMBM	749272	0	1	20053	1	0	20000	other	0
NA	41	Response	1	755399	6127	0	NA	NA	NA	NA	NA	NA
NA	42	Picture	fix1	769492	0	1	10026	1	0	10000	other	0
NA	43	Picture	NMK	779685	0	1	20053	1	0	20000	other	0
NA	43	Response	1	786623	6938	0	NA	NA	NA	NA	NA	NA
NA	44	Picture	fix1	799905	0	1	10026	1	0	10000	other	0
NA	45	Picture	NWBM	810098	0	1	20053	1	0	20000	other	0
NA	45	Response	2	817549	7451	0	NA	NA	NA	NA	NA	NA
NA	46	Picture	fix1	830318	0	1	10026	1	0	10000	other	0
NA	47	Picture	NWK	840511	0	1	20053	1	0	20000	other	0
NA	47	Response	2	847089	6578	0	NA	NA	NA	NA	NA	NA
NA	48	Picture	fix1	860731	0	1	10026	1	0	10000	other	0
NA	49	Picture	NMBK	870924	0	1	20052	1	0	20000	other	0
NA	49	Response	1	876429	5504	0	NA	NA	NA	NA	NA	NA
NA	50	Picture	fix1	891144	0	1	10026	1	0	10000	other	0
NA	51	Picture	NWM	901337	0	1	20053	1	0	20000	other	0
NA	51	Response	2	909636	8298	0	NA	NA	NA	NA	NA	NA
NA	52	Picture	fix1	921557	0	1	10026	1	0	10000	other	0
NA	53	Picture	NMM	931750	0	1	20053	1	0	20000	other	0
NA	53	Response	1	936202	4452	0	NA	NA	NA	NA	NA	NA
NA	54	Picture	fix1	951970	0	1	10026	1	0	10000	other	0
NA	55	Picture	NWBK	962164	0	1	20053	1	0	20000	other	0
NA	55	Response	2	966537	4374	0	NA	NA	NA	NA	NA	NA
NA	56	Picture	fix1	982383	0	1	10026	1	0	10000	other	0
NA	57	Picture	NMBM	992577	0	1	20053	1	0	20000	other	0
NA	57	Response	1	997863	5286	0	NA	NA	NA	NA	NA	NA
NA	58	Picture	fix1	1012796	0	1	10026	1	0	10000	other	0
NA	59	Picture	NMK	1022990	0	1	20053	1	0	20000	other	0
NA	59	Response	1	1029883	6893	0	NA	NA	NA	NA	NA	NA
NA	60	Picture	fix1	1043210	0	1	10026	1	0	10000	other	0
NA	61	Picture	NWBM	1053403	0	1	20053	1	0	20000	other	0
NA	61	Response	2	1060022	6619	0	NA	NA	NA	NA	NA	NA
NA	62	Picture	fix1	1073623	0	1	10026	1	0	10000	other	0
NA	63	Picture	NWK	1083816	0	1	20053	1	0	20000	other	0
NA	63	Response	2	1088673	4857	0	NA	NA	NA	NA	NA	NA
NA	64	Picture	fix1	1104036	0	1	10026	1	0	10000	other	0
NA	65	Picture	NMBK	1114229	0	1	20053	1	0	20000	other	0
NA	65	Response	1	1119109	4880	0	NA	NA	NA	NA	NA	NA
NA	66	Picture	fix1	1134449	0	1	10026	1	0	10000	other	0
NA	67	Picture	NWM	1144642	0	1	20053	1	0	20000	other	0
NA	67	Response	2	1153016	8373	0	NA	NA	NA	NA	NA	NA
NA	68	Picture	fix1	1164862	0	1	10026	1	0	10000	other	0
NA	69	Picture	NMM	1175055	0	1	20053	1	0	20000	other	0
NA	69	Response	1	1179487	4432	0	NA	NA	NA	NA	NA	NA
NA	70	Picture	fix1	1195275	0	1	10026	1	0	10000	other	0
NA	71	Picture	NWBK	1205468	0	1	20053	1	0	20000	other	0
NA	71	Response	2	1210320	4852	0	NA	NA	NA	NA	NA	NA
NA	72	Picture	fix1	1225688	0	1	10026	1	0	10000	other	0
NA	73	Picture	NMBM	1235882	0	1	20053	1	0	20000	other	0
NA	73	Response	1	1240857	4975	0	NA	NA	NA	NA	NA	NA
NA	74	Picture	fix1	1256101	0	1	10026	1	0	10000	other	0
NA	75	Picture	NMK	1266295	0	1	20053	1	0	20000	other	0
NA	75	Response	1	1271890	5596	0	NA	NA	NA	NA	NA	NA
NA	76	Picture	fix1	1286514	0	1	10026	1	0	10000	other	0
NA	77	Picture	NWBM	1296708	0	1	20053	1	0	20000	other	0
NA	77	Response	2	1302329	5621	0	NA	NA	NA	NA	NA	NA
NA	78	Picture	fix1	1316928	0	1	10026	1	0	10000	other	0
NA	79	Picture	NWK	1327121	0	1	20053	1	0	20000	other	0
NA	79	Response	2	1332174	5053	0	NA	NA	NA	NA	NA	NA
NA	80	Picture	fix1	1347341	0	1	10026	1	0	10000	other	0
NA	81	Picture	NMBK	1357534	0	1	20053	1	0	20000	other	0
NA	81	Response	1	1362712	5178	0	NA	NA	NA	NA	NA	NA
NA	82	Picture	fix1	1377754	0	1	10026	1	0	10000	other	0
NA	83	Picture	NWM	1387947	0	1	20053	1	0	20000	other	0
NA	83	Response	2	1392261	4314	0	NA	NA	NA	NA	NA	NA
NA	84	Picture	fix1	1408167	0	1	10026	1	0	10000	other	0
NA	85	Picture	NMM	1418360	0	1	20053	1	0	20000	other	0
NA	85	Response	1	1423297	4936	0	NA	NA	NA	NA	NA	NA
NA	86	Picture	fix1	1438580	0	1	10026	1	0	10000	other	0
NA	87	Picture	NWBK	1448773	0	1	20053	1	0	20000	other	0
NA	87	Response	2	1453638	4865	0	NA	NA	NA	NA	NA	NA
NA	88	Picture	fix1	1468993	0	1	10026	1	0	10000	other	0
NA	89	Picture	NMBM	1479187	0	1	20052	1	0	20000	other	0
NA	89	Response	1	1483188	4002	0	NA	NA	NA	NA	NA	NA
NA	90	Picture	fix1	1499406	0	1	10026	1	0	10000	other	0
NA	91	Picture	NMK	1509600	0	1	20053	1	0	20000	other	0
NA	91	Response	1	1516901	7302	0	NA	NA	NA	NA	NA	NA
NA	92	Picture	fix1	1529819	0	1	10026	1	0	10000	other	0
NA	93	Picture	NWBM	1540013	0	1	20053	1	0	20000	other	0
NA	93	Response	2	1549527	9514	0	NA	NA	NA	NA	NA	NA
NA	94	Picture	fix1	1560233	0	1	10026	1	0	10000	other	0
NA	95	Picture	NWK	1570426	0	1	20053	1	0	20000	other	0
NA	95	Response	2	1576104	5678	0	NA	NA	NA	NA	NA	NA
NA	96	Picture	fix1	1590646	0	1	10026	1	0	10000	other	0
NA	97	Picture	NMBK	1600839	0	1	20053	1	0	20000	other	0
NA	97	Response	1	1607245	6406	0	NA	NA	NA	NA	NA	NA
NA	98	Picture	fix1	1621059	0	1	10026	1	0	10000	other	0
NA	99	Picture	NWM	1631252	0	1	20053	1	0	20000	other	0
NA	99	Response	2	1637195	5943	0	NA	NA	NA	NA	NA	NA
NA	100	Picture	fix1	1651472	0	1	10026	1	0	10000	other	0
NA	101	Picture	NMM	1661665	0	1	20053	1	0	20000	other	0
NA	101	Response	1	1667741	6076	0	NA	NA	NA	NA	NA	NA
NA	102	Picture	fix1	1681885	0	1	10026	1	0	10000	other	0
NA	103	Picture	NWBK	1692078	0	1	20053	1	0	20000	other	0
NA	103	Response	2	1697595	5517	0	NA	NA	NA	NA	NA	NA
NA	104	Picture	fix1	1712298	0	1	10026	1	0	10000	other	0
NA	105	Picture	NMBM	1722491	0	1	20053	1	0	20000	other	0
NA	105	Response	1	1729135	6644	0	NA	NA	NA	NA	NA	NA
NA	106	Picture	fix1	1742711	0	1	10026	1	0	10000	other	0
NA	107	Picture	NMK	1752905	0	1	20053	1	0	20000	other	0
NA	107	Response	1	1757996	5092	0	NA	NA	NA	NA	NA	NA
NA	108	Picture	fix1	1773124	0	1	10026	1	0	10000	other	0
NA	109	Picture	NWBM	1783318	0	1	20053	1	0	20000	other	0
NA	109	Response	2	1788645	5327	0	NA	NA	NA	NA	NA	NA
NA	110	Picture	fix1	1803537	0	1	10026	1	0	10000	other	0
NA	111	Picture	NWK	1813731	0	1	20053	1	0	20000	other	0
NA	111	Response	2	1820582	6852	0	NA	NA	NA	NA	NA	NA
NA	112	Picture	fix1	1833951	0	1	10026	1	0	10000	other	0
NA	113	Picture	NMBK	1844144	0	1	20053	1	0	20000	other	0
NA	113	Response	1	1848156	4012	0	NA	NA	NA	NA	NA	NA
NA	114	Picture	fix1	1864364	0	1	10026	1	0	10000	other	0
NA	115	Picture	NWM	1874557	0	1	20053	1	0	20000	other	0
NA	115	Response	2	1880194	5637	0	NA	NA	NA	NA	NA	NA
NA	116	Picture	fix1	1894777	0	1	10026	1	0	10000	other	0
NA	117	Picture	NMM	1904970	0	1	20053	1	0	20000	other	0
NA	117	Response	1	1915206	10236	0	NA	NA	NA	NA	NA	NA
NA	118	Picture	fix1	1925190	0	1	10026	1	0	10000	other	0
NA	119	Picture	NWBK	1935383	0	1	20053	1	0	20000	other	0
NA	119	Response	2	1940897	5514	0	NA	NA	NA	NA	NA	NA
NA	120	Picture	fix1	1955603	0	1	10026	1	0	10000	other	0
NA	121	Picture	NMBM	1965796	0	1	20053	1	0	20000	other	0
NA	121	Response	1	1969464	3668	0	NA	NA	NA	NA	NA	NA
NA	122	Picture	fix1	1986016	0	1	10026	1	0	10000	other	0
NA	123	Picture	NMK	1996210	0	1	20053	1	0	20000	other	0
NA	123	Response	1	2000907	4697	0	NA	NA	NA	NA	NA	NA
NA	124	Picture	fix1	2016429	0	1	10026	1	0	10000	other	0
NA	125	Picture	NWBM	2026623	0	1	20053	1	0	20000	other	0
NA	125	Response	2	2031755	5133	0	NA	NA	NA	NA	NA	NA
NA	126	Picture	fix1	2046842	0	1	10026	1	0	10000	other	0
NA	127	Picture	NWK	2057036	0	1	20053	1	0	20000	other	0
NA	127	Response	2	2062506	5470	0	NA	NA	NA	NA	NA	NA
NA	128	Picture	fix1	2077256	0	1	10026	1	0	10000	other	0
NA	129	Picture	NMBK	2087449	0	1	20053	1	0	20000	other	0
NA	129	Response	1	2093060	5611	0	NA	NA	NA	NA	NA	NA
NA	130	Picture	fix1	2107669	0	1	10026	1	0	10000	other	0
NA	131	Picture	NWM	2117862	0	1	20053	1	0	20000	other	0
NA	131	Response	2	2122821	4959	0	NA	NA	NA	NA	NA	NA
NA	132	Picture	fix1	2138082	0	1	10193	1	0	10000	other	0
NA	133	Picture	NMM	2148442	0	1	20053	1	0	20000	other	0
NA	133	Response	1	2152782	4340	0	NA	NA	NA	NA	NA	NA
