Subject	Trial	Event Type	Code	Time	TTime	Uncertainty...7	Duration	Uncertainty...9	ReqTime	ReqDur	Stim Type	Pair Index
31	1	Picture	ripnp	10167	0	1	50132	1	0	50000	other	0
31	2	Picture	ricordaneutralprova	60466	0	1	50132	1	0	50000	other	0
31	3	Picture	tre	110764	0	1	10026	1	0	10000	other	0
31	4	Picture	due	120958	0	1	10026	1	0	10000	other	0
31	5	Picture	uno	131151	0	1	10026	1	0	10000	other	0
31	6	Picture	zero	141344	0	1	10026	1	0	10000	other	0
31	7	Picture	neutraltest	151538	0	1	167	1	0	10	other	0
31	8	Picture	NMM	151872	0	1	20052	1	0	20000	other	0
31	8	Response	1	160506	8634	0	NA	NA	NA	NA	NA	NA
31	9	Picture	fix1	172092	0	1	10026	1	0	10000	other	0
31	10	Picture	NWK	182285	0	1	20053	1	0	20000	other	0
31	10	Response	2	189594	7309	0	NA	NA	NA	NA	NA	NA
31	11	Picture	fix1	202505	0	1	10026	1	0	10000	other	0
31	12	Picture	NMK	212698	0	1	20053	1	0	20000	other	0
31	12	Response	1	221859	9161	0	NA	NA	NA	NA	NA	NA
31	13	Picture	fix1	232918	0	1	10026	1	0	10000	other	0
31	14	Picture	NWBK	243111	0	1	20053	1	0	20000	other	0
31	14	Response	2	248763	5651	0	NA	NA	NA	NA	NA	NA
31	15	Picture	fix1	263331	0	1	10026	1	0	10000	other	0
31	16	Picture	ripfp	273525	0	1	50131	1	0	50000	other	0
31	16	Response	2	304159	30634	0	NA	NA	NA	NA	NA	NA
31	17	Picture	ricordafacceprova	323823	0	1	50132	1	0	50000	other	0
31	18	Picture	tre	374122	0	1	10026	1	0	10000	other	0
31	19	Picture	due	384315	0	1	10026	1	0	10000	other	0
31	20	Picture	uno	394509	0	1	10026	1	0	10000	other	0
31	21	Picture	zero	404702	0	1	10026	1	0	10000	other	0
31	22	Picture	faccetest	414895	0	1	167	1	0	10	other	0
31	23	Picture	FMG	415230	0	1	20053	1	0	20000	other	0
31	23	Response	2	424482	9252	0	NA	NA	NA	NA	NA	NA
31	24	Picture	fix1	435449	0	1	10026	1	0	10000	other	0
31	25	Picture	FWR	445643	0	1	20053	1	0	20000	other	0
31	25	Response	2	452589	6946	0	NA	NA	NA	NA	NA	NA
31	26	Picture	fix1	465862	0	1	10026	1	0	10000	other	0
31	27	Picture	HWG	476056	0	1	20053	1	0	20000	other	0
31	27	Response	1	482960	6904	0	NA	NA	NA	NA	NA	NA
31	28	Picture	fix1	496275	0	1	10026	1	0	10000	other	0
31	29	Picture	HMR	506469	0	1	20053	1	0	20000	other	0
31	29	Response	1	514234	7765	0	NA	NA	NA	NA	NA	NA
31	30	Picture	fix1	526689	0	1	10026	1	0	10000	other	0
31	31	Picture	ripn	536882	0	1	50132	1	0	50000	other	0
31	32	Picture	ricordaneutral	587181	0	1	50131	1	0	50000	other	0
31	33	Picture	avvneutral	637479	0	1	50132	1	0	50000	other	0
31	34	Picture	cinque	687778	0	1	10026	1	0	10000	other	0
31	35	Picture	quattro	697971	0	1	10026	1	0	10000	other	0
31	36	Picture	tre	708165	0	1	10026	1	0	10000	other	0
31	37	Picture	due	718358	0	1	10026	1	0	10000	other	0
31	38	Picture	uno	728552	0	1	10026	1	0	10000	other	0
31	39	Picture	zero	738745	0	1	10026	1	0	10000	other	0
31	40	Picture	pazzo	748938	0	1	167	1	0	10	other	0
31	41	Picture	NMBM	749273	0	1	20053	1	0	20000	other	0
31	41	Response	1	754297	5025	0	NA	NA	NA	NA	NA	NA
31	42	Picture	fix1	769492	0	1	10026	1	0	10000	other	0
31	43	Picture	NMK	779686	0	1	20053	1	0	20000	other	0
31	43	Response	1	785673	5987	0	NA	NA	NA	NA	NA	NA
31	44	Picture	fix1	799905	0	1	10026	1	0	10000	other	0
31	45	Picture	NWBM	810099	0	1	20053	1	0	20000	other	0
31	45	Response	2	817048	6949	0	NA	NA	NA	NA	NA	NA
31	46	Picture	fix1	830318	0	1	10026	1	0	10000	other	0
31	47	Picture	NWK	840512	0	1	20053	1	0	20000	other	0
31	47	Response	2	845346	4834	0	NA	NA	NA	NA	NA	NA
31	48	Picture	fix1	860732	0	1	10026	1	0	10000	other	0
31	49	Picture	NMBK	870925	0	1	20053	1	0	20000	other	0
31	49	Response	1	875731	4806	0	NA	NA	NA	NA	NA	NA
31	50	Picture	fix1	891145	0	1	10026	1	0	10000	other	0
31	51	Picture	NWM	901338	0	1	20053	1	0	20000	other	0
31	51	Response	2	906610	5272	0	NA	NA	NA	NA	NA	NA
31	52	Picture	fix1	921558	0	1	10026	1	0	10000	other	0
31	53	Picture	NMM	931751	0	1	20053	1	0	20000	other	0
31	53	Response	1	939773	8022	0	NA	NA	NA	NA	NA	NA
31	54	Picture	fix1	951971	0	1	10026	1	0	10000	other	0
31	55	Picture	NWBK	962164	0	1	20053	1	0	20000	other	0
31	55	Response	2	968297	6133	0	NA	NA	NA	NA	NA	NA
31	56	Picture	fix1	982384	0	1	10026	1	0	10000	other	0
31	57	Picture	NMBM	992578	0	1	20053	1	0	20000	other	0
31	57	Response	1	997758	5180	0	NA	NA	NA	NA	NA	NA
31	58	Picture	fix1	1012797	0	1	10026	1	0	10000	other	0
31	59	Picture	NMK	1022991	0	1	20053	1	0	20000	other	0
31	59	Response	1	1029332	6342	0	NA	NA	NA	NA	NA	NA
31	60	Picture	fix1	1043210	0	1	10026	1	0	10000	other	0
31	61	Picture	NWBM	1053404	0	1	20053	1	0	20000	other	0
31	61	Response	2	1059418	6014	0	NA	NA	NA	NA	NA	NA
31	62	Picture	fix1	1073605	0	19	10045	19	0	10000	other	0
31	63	Picture	NWK	1083817	0	1	20053	1	0	20000	other	0
31	63	Response	2	1090101	6284	0	NA	NA	NA	NA	NA	NA
31	64	Picture	fix1	1104037	0	1	10026	1	0	10000	other	0
31	65	Picture	NMBK	1114230	0	1	20053	1	0	20000	other	0
31	65	Response	1	1119802	5571	0	NA	NA	NA	NA	NA	NA
31	66	Picture	fix1	1134450	0	1	10026	1	0	10000	other	0
31	67	Picture	NWM	1144643	0	1	20053	1	0	20000	other	0
31	67	Response	2	1150773	6130	0	NA	NA	NA	NA	NA	NA
31	68	Picture	fix1	1164863	0	1	10026	1	0	10000	other	0
31	69	Picture	NMM	1175056	0	1	20053	1	0	20000	other	0
31	69	Response	1	1179672	4615	0	NA	NA	NA	NA	NA	NA
31	70	Picture	fix1	1195276	0	1	10026	1	0	10000	other	0
31	71	Picture	NWBK	1205469	0	1	20053	1	0	20000	other	0
31	71	Response	2	1212155	6685	0	NA	NA	NA	NA	NA	NA
31	72	Picture	fix1	1225689	0	1	10026	1	0	10000	other	0
31	73	Picture	NMBM	1235883	0	1	20053	1	0	20000	other	0
31	73	Response	1	1240645	4763	0	NA	NA	NA	NA	NA	NA
31	74	Picture	fix1	1256102	0	1	10026	1	0	10000	other	0
31	75	Picture	NMK	1266296	0	1	20053	1	0	20000	other	0
31	75	Response	1	1273018	6723	0	NA	NA	NA	NA	NA	NA
31	76	Picture	fix1	1286516	0	1	10026	1	0	10000	other	0
31	77	Picture	NWBM	1296709	0	1	20053	1	0	20000	other	0
31	77	Response	2	1302809	6100	0	NA	NA	NA	NA	NA	NA
31	78	Picture	fix1	1316929	0	1	10026	1	0	10000	other	0
31	79	Picture	NWK	1327122	0	1	20053	1	0	20000	other	0
31	79	Response	2	1333395	6273	0	NA	NA	NA	NA	NA	NA
31	80	Picture	fix1	1347342	0	1	10026	1	0	10000	other	0
31	81	Picture	NMBK	1357535	0	1	20053	1	0	20000	other	0
31	81	Response	1	1362491	4956	0	NA	NA	NA	NA	NA	NA
31	82	Picture	fix1	1377755	0	1	10026	1	0	10000	other	0
31	83	Picture	NWM	1387948	0	1	20053	1	0	20000	other	0
31	83	Response	2	1393574	5626	0	NA	NA	NA	NA	NA	NA
31	84	Picture	fix1	1408168	0	1	10026	1	0	10000	other	0
31	85	Picture	NMM	1418361	0	1	20053	1	0	20000	other	0
31	85	Response	1	1422574	4213	0	NA	NA	NA	NA	NA	NA
31	86	Picture	fix1	1438581	0	1	10026	1	0	10000	other	0
31	87	Picture	NWBK	1448774	0	1	20053	1	0	20000	other	0
31	87	Response	2	1453756	4981	0	NA	NA	NA	NA	NA	NA
31	88	Picture	fix1	1468994	0	1	10026	1	0	10000	other	0
31	89	Picture	NMBM	1479188	0	1	20053	1	0	20000	other	0
31	89	Response	1	1484045	4857	0	NA	NA	NA	NA	NA	NA
31	90	Picture	fix1	1499407	0	1	10026	1	0	10000	other	0
31	91	Picture	NMK	1509601	0	1	20053	1	0	20000	other	0
31	91	Response	1	1515924	6324	0	NA	NA	NA	NA	NA	NA
31	92	Picture	fix1	1529820	0	1	10026	1	0	10000	other	0
31	93	Picture	NWBM	1540014	0	1	20053	1	0	20000	other	0
31	93	Response	2	1547815	7801	0	NA	NA	NA	NA	NA	NA
31	94	Picture	fix1	1560234	0	1	10026	1	0	10000	other	0
31	95	Picture	NWK	1570427	0	1	20053	1	0	20000	other	0
31	95	Response	2	1576009	5582	0	NA	NA	NA	NA	NA	NA
31	96	Picture	fix1	1590647	0	1	10026	1	0	10000	other	0
31	97	Picture	NMBK	1600840	0	1	20053	1	0	20000	other	0
31	97	Response	1	1605010	4170	0	NA	NA	NA	NA	NA	NA
31	98	Picture	fix1	1621060	0	1	10026	1	0	10000	other	0
31	99	Picture	NWM	1631253	0	1	20053	1	0	20000	other	0
31	99	Response	2	1637487	6234	0	NA	NA	NA	NA	NA	NA
31	100	Picture	fix1	1651473	0	1	10026	1	0	10000	other	0
31	101	Picture	NMM	1661666	0	1	20053	1	0	20000	other	0
31	101	Response	1	1667283	5616	0	NA	NA	NA	NA	NA	NA
31	102	Picture	fix1	1681886	0	1	10026	1	0	10000	other	0
31	103	Picture	NWBK	1692080	0	1	20053	1	0	20000	other	0
31	103	Response	2	1698271	6192	0	NA	NA	NA	NA	NA	NA
31	104	Picture	fix1	1712299	0	1	10026	1	0	10000	other	0
31	105	Picture	NMBM	1722493	0	1	20053	1	0	20000	other	0
31	105	Response	1	1727171	4679	0	NA	NA	NA	NA	NA	NA
31	106	Picture	fix1	1742712	0	1	10026	1	0	10000	other	0
31	107	Picture	NMK	1752906	0	1	20053	1	0	20000	other	0
31	107	Response	1	1758554	5648	0	NA	NA	NA	NA	NA	NA
31	108	Picture	fix1	1773126	0	1	10026	1	0	10000	other	0
31	109	Picture	NWBM	1783319	0	1	20053	1	0	20000	other	0
31	109	Response	2	1788745	5426	0	NA	NA	NA	NA	NA	NA
31	110	Picture	fix1	1803539	0	1	10026	1	0	10000	other	0
31	111	Picture	NWK	1813732	0	1	20053	1	0	20000	other	0
31	111	Response	2	1819731	5999	0	NA	NA	NA	NA	NA	NA
31	112	Picture	fix1	1833952	0	1	10026	1	0	10000	other	0
31	113	Picture	NMBK	1844145	0	1	20053	1	0	20000	other	0
31	113	Response	1	1848741	4595	0	NA	NA	NA	NA	NA	NA
31	114	Picture	fix1	1864365	0	1	10026	1	0	10000	other	0
31	115	Picture	NWM	1874558	0	1	20053	1	0	20000	other	0
31	115	Response	2	1879716	5158	0	NA	NA	NA	NA	NA	NA
31	116	Picture	fix1	1894778	0	1	10026	1	0	10000	other	0
31	117	Picture	NMM	1904972	0	1	20053	1	0	20000	other	0
31	117	Response	1	1909114	4143	0	NA	NA	NA	NA	NA	NA
31	118	Picture	fix1	1925191	0	1	10026	1	0	10000	other	0
31	119	Picture	NWBK	1935385	0	1	20053	1	0	20000	other	0
31	119	Response	2	1939704	4320	0	NA	NA	NA	NA	NA	NA
31	120	Picture	fix1	1955604	0	1	10026	1	0	10000	other	0
31	121	Picture	NMBM	1965798	0	1	20053	1	0	20000	other	0
31	121	Response	1	1969599	3802	0	NA	NA	NA	NA	NA	NA
31	122	Picture	fix1	1986018	0	1	10026	1	0	10000	other	0
31	123	Picture	NMK	1996211	0	1	20053	1	0	20000	other	0
31	123	Response	1	2000488	4277	0	NA	NA	NA	NA	NA	NA
31	124	Picture	fix1	2016431	0	1	10026	1	0	10000	other	0
31	125	Picture	NWBM	2026624	0	1	20053	1	0	20000	other	0
31	125	Response	2	2031872	5248	0	NA	NA	NA	NA	NA	NA
31	126	Picture	fix1	2046844	0	1	10026	1	0	10000	other	0
31	127	Picture	NWK	2057037	0	1	20053	1	0	20000	other	0
31	127	Response	2	2061571	4534	0	NA	NA	NA	NA	NA	NA
31	128	Picture	fix1	2077257	0	1	10026	1	0	10000	other	0
31	129	Picture	NMBK	2087450	0	1	20053	1	0	20000	other	0
31	129	Response	1	2092962	5512	0	NA	NA	NA	NA	NA	NA
31	130	Picture	fix1	2107670	0	1	10026	1	0	10000	other	0
31	131	Picture	NWM	2117863	0	1	20053	1	0	20000	other	0
31	131	Response	2	2125147	7283	0	NA	NA	NA	NA	NA	NA
31	132	Picture	fix1	2138083	0	1	10193	1	0	10000	other	0
31	133	Picture	NMM	2148444	0	1	20053	1	0	20000	other	0
31	133	Response	1	2152962	4519	0	NA	NA	NA	NA	NA	NA
31	134	Picture	fix1	2168663	0	1	10026	1	0	10000	other	0
31	135	Picture	NWBK	2178857	0	1	20053	1	0	20000	other	0
31	135	Response	2	2185146	6289	0	NA	NA	NA	NA	NA	NA
31	136	Picture	fix1	2199077	0	1	10026	1	0	10000	other	0
31	137	Picture	NMBM	2209270	0	1	20053	1	0	20000	other	0
31	137	Response	1	2214846	5576	0	NA	NA	NA	NA	NA	NA
31	138	Picture	fix1	2229490	0	1	10026	1	0	10000	other	0
31	139	Picture	NMK	2239683	0	1	20053	1	0	20000	other	0
31	139	Response	1	2247042	7359	0	NA	NA	NA	NA	NA	NA
31	140	Picture	fix1	2259903	0	1	10026	1	0	10000	other	0
31	141	Picture	NWBM	2270096	0	1	20053	1	0	20000	other	0
31	141	Response	2	2278223	8126	0	NA	NA	NA	NA	NA	NA
31	142	Picture	fix1	2290316	0	1	10026	1	0	10000	other	0
31	143	Picture	NWK	2300509	0	1	20053	1	0	20000	other	0
31	143	Response	2	2307824	7314	0	NA	NA	NA	NA	NA	NA
31	144	Picture	fix1	2320729	0	1	10026	1	0	10000	other	0
31	145	Picture	NMBK	2330922	0	1	20053	1	0	20000	other	0
31	145	Response	1	2335835	4913	0	NA	NA	NA	NA	NA	NA
31	146	Picture	fix1	2351142	0	1	10026	1	0	10000	other	0
31	147	Picture	NWM	2361336	0	1	20053	1	0	20000	other	0
31	147	Response	2	2368645	7310	0	NA	NA	NA	NA	NA	NA
31	148	Picture	fix1	2381555	0	1	10026	1	0	10000	other	0
31	149	Picture	NMM	2391749	0	1	20053	1	0	20000	other	0
31	149	Response	1	2402093	10344	0	NA	NA	NA	NA	NA	NA
31	150	Picture	fix1	2411969	0	1	10026	1	0	10000	other	0
31	151	Picture	NWBK	2422162	0	1	20053	1	0	20000	other	0
31	151	Response	2	2429411	7249	0	NA	NA	NA	NA	NA	NA
31	152	Picture	fix1	2442382	0	1	10026	1	0	10000	other	0
31	153	Picture	NMBM	2452575	0	1	20053	1	0	20000	other	0
31	153	Response	2	2461696	9121	0	NA	NA	NA	NA	NA	NA
31	154	Picture	fix1	2472795	0	1	10026	1	0	10000	other	0
31	155	Picture	NMK	2482988	0	1	20053	1	0	20000	other	0
31	155	Response	1	2496167	13178	0	NA	NA	NA	NA	NA	NA
31	156	Picture	fix1	2503208	0	1	10026	1	0	10000	other	0
31	157	Picture	NWBM	2513401	0	1	20053	1	0	20000	other	0
31	157	Response	2	2521211	7810	0	NA	NA	NA	NA	NA	NA
31	158	Picture	fix1	2533621	0	1	10026	1	0	10000	other	0
31	159	Picture	NWK	2543814	0	1	20053	1	0	20000	other	0
31	159	Response	2	2551203	7389	0	NA	NA	NA	NA	NA	NA
31	160	Picture	fix1	2564034	0	1	10026	1	0	10000	other	0
31	161	Picture	NMBK	2574228	0	1	20053	1	0	20000	other	0
31	161	Response	1	2580907	6680	0	NA	NA	NA	NA	NA	NA
31	162	Picture	fix1	2594447	0	1	10026	1	0	10000	other	0
31	163	Picture	NWM	2604641	0	1	20053	1	0	20000	other	0
31	163	Response	2	2611803	7163	0	NA	NA	NA	NA	NA	NA
31	164	Picture	fix1	2624861	0	1	10026	1	0	10000	other	0
31	165	Picture	NMM	2635054	0	1	20053	1	0	20000	other	0
31	165	Response	1	2640614	5560	0	NA	NA	NA	NA	NA	NA
31	166	Picture	fix1	2655274	0	1	10026	1	0	10000	other	0
31	167	Picture	NWBK	2665467	0	1	20053	1	0	20000	other	0
31	167	Response	2	2672108	6641	0	NA	NA	NA	NA	NA	NA
31	168	Picture	fix1	2685687	0	1	10026	1	0	10000	other	0
