Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty_1	ReqTime	ReqDur	Stim Type	Pair Index
fp78_pilot_181126	1	Picture	ripnp	10166	0	1	50120	1	0	50000	other	0
fp78_pilot_181126	2	Picture	ricordaneutralprova	60452	0	1	50120	1	0	50000	other	0
fp78_pilot_181126	3	Picture	tre	110738	0	1	10157	1	0	10000	other	0
fp78_pilot_181126	4	Picture	due	121062	0	1	10157	1	0	10000	other	0
fp78_pilot_181126	5	Picture	uno	131386	0	1	10157	1	0	10000	other	0
fp78_pilot_181126	6	Picture	zero	141709	0	1	10157	1	0	10000	other	0
fp78_pilot_181126	7	Picture	neutraltest	152033	0	1	167	1	0	10	other	0
fp78_pilot_181126	8	Picture	NMM	152366	0	1	20148	1	0	20000	other	0
fp78_pilot_181126	8	Response	1	160708	8342	0	NA	NA	NA	NA	NA	NA
fp78_pilot_181126	9	Picture	fix1	172680	0	1	10157	1	0	10000	other	0
fp78_pilot_181126	10	Picture	NWK	183004	0	1	20148	1	0	20000	other	0
fp78_pilot_181126	10	Response	2	190523	7519	0	NA	NA	NA	NA	NA	NA
fp78_pilot_181126	11	Picture	fix1	203318	0	1	10157	1	0	10000	other	0
fp78_pilot_181126	12	Picture	NMK	213642	0	1	20148	1	0	20000	other	0
fp78_pilot_181126	12	Response	1	225141	11499	0	NA	NA	NA	NA	NA	NA
fp78_pilot_181126	13	Picture	fix1	233956	0	1	10157	1	0	10000	other	0
fp78_pilot_181126	14	Picture	NWBK	244280	0	1	20148	1	0	20000	other	0
fp78_pilot_181126	14	Response	2	253694	9415	0	NA	NA	NA	NA	NA	NA
fp78_pilot_181126	15	Picture	fix1	264594	0	1	10157	1	0	10000	other	0
fp78_pilot_181126	16	Picture	ripfp	274918	0	1	50120	1	0	50000	other	0
fp78_pilot_181126	17	Picture	ricordafacceprova	325204	0	1	50120	1	0	50000	other	0
fp78_pilot_181126	18	Picture	tre	375490	0	1	10157	1	0	10000	other	0
fp78_pilot_181126	19	Picture	due	385813	0	1	10157	1	0	10000	other	0
fp78_pilot_181126	20	Picture	uno	396137	0	1	10157	1	0	10000	other	0
fp78_pilot_181126	21	Picture	zero	406461	0	1	10157	1	0	10000	other	0
fp78_pilot_181126	22	Picture	faccetest	416784	0	1	166	1	0	10	other	0
fp78_pilot_181126	23	Picture	FMG	417117	0	1	20148	1	0	20000	other	0
