Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty_1	ReqTime	ReqDur	Stim Type	Pair Index
8016	1	Picture	ripnp	10167	0	1	50131	1	0	50000	other	0
8016	2	Picture	ricordaneutralprova	60465	0	1	50131	1	0	50000	other	0
8016	3	Picture	tre	110764	0	1	10026	1	0	10000	other	0
8016	4	Picture	due	120957	0	1	10026	1	0	10000	other	0
8016	5	Picture	uno	131151	0	1	10026	1	0	10000	other	0
8016	6	Picture	zero	141344	0	1	10026	1	0	10000	other	0
8016	7	Picture	neutraltest	151537	0	1	167	1	0	10	other	0
8016	8	Picture	NMM	151872	0	1	20053	1	0	20000	other	0
8016	8	Response	1	165109	13237	0	NA	NA	NA	NA	NA	NA
8016	9	Picture	fix1	172091	0	1	10026	1	0	10000	other	0
8016	10	Picture	NWK	182285	0	1	20053	1	0	20000	other	0
8016	10	Response	2	188797	6512	0	NA	NA	NA	NA	NA	NA
8016	11	Picture	fix1	202504	0	1	10026	1	0	10000	other	0
8016	12	Picture	NMK	212698	0	1	20053	1	0	20000	other	0
8016	12	Response	1	219394	6696	0	NA	NA	NA	NA	NA	NA
8016	13	Picture	fix1	232918	0	1	10026	1	0	10000	other	0
8016	14	Picture	NWBK	243111	0	1	20053	1	0	20000	other	0
8016	14	Response	2	248115	5004	0	NA	NA	NA	NA	NA	NA
8016	15	Picture	fix1	263331	0	1	10026	1	0	10000	other	0
8016	16	Picture	ripfp	273524	0	1	50131	1	0	50000	other	0
8016	17	Picture	ricordafacceprova	323823	0	1	50131	1	0	50000	other	0
8016	18	Picture	tre	374121	0	1	10026	1	0	10000	other	0
8016	19	Picture	due	384314	0	1	10026	1	0	10000	other	0
8016	20	Picture	uno	394508	0	1	10026	1	0	10000	other	0
8016	21	Picture	zero	404701	0	1	10026	1	0	10000	other	0
8016	22	Picture	faccetest	414895	0	1	167	1	0	10	other	0
8016	23	Picture	FMG	415229	0	1	20053	1	0	20000	other	0
8016	23	Response	2	425705	10477	0	NA	NA	NA	NA	NA	NA
8016	24	Picture	fix1	435448	0	1	10026	1	0	10000	other	0
8016	25	Picture	FWR	445642	0	1	20053	1	0	20000	other	0
8016	25	Response	2	452758	7116	0	NA	NA	NA	NA	NA	NA
8016	26	Picture	fix1	465862	0	1	10026	1	0	10000	other	0
8016	27	Picture	HWG	476055	0	1	20052	1	0	20000	other	0
8016	27	Response	1	483267	7212	0	NA	NA	NA	NA	NA	NA
8016	28	Picture	fix1	496275	0	1	10026	1	0	10000	other	0
8016	29	Picture	HMR	506468	0	1	20053	1	0	20000	other	0
8016	29	Response	1	517333	10865	0	NA	NA	NA	NA	NA	NA
8016	30	Picture	fix1	526688	0	1	10026	1	0	10000	other	0
8016	31	Picture	ripn	536881	0	1	50131	1	0	50000	other	0
8016	32	Picture	ricordaneutral	587180	0	1	50131	1	0	50000	other	0
8016	33	Picture	avvneutral	637478	0	1	50131	1	0	50000	other	0
8016	34	Picture	cinque	687777	0	1	10026	1	0	10000	other	0
8016	35	Picture	quattro	697970	0	1	10026	1	0	10000	other	0
8016	36	Picture	tre	708163	0	1	10026	1	0	10000	other	0
8016	37	Picture	due	718357	0	1	10026	1	0	10000	other	0
8016	38	Picture	uno	728550	0	1	10026	1	0	10000	other	0
8016	39	Picture	zero	738744	0	1	10026	1	0	10000	other	0
8016	40	Picture	pazzo	748937	0	1	167	1	0	10	other	0
8016	41	Picture	NMBM	749271	0	1	20053	1	0	20000	other	0
8016	41	Response	1	759589	10318	0	NA	NA	NA	NA	NA	NA
8016	42	Picture	fix1	769491	0	1	10026	1	0	10000	other	0
8016	43	Picture	NMK	779684	0	1	20053	1	0	20000	other	0
8016	43	Response	1	789518	9833	0	NA	NA	NA	NA	NA	NA
8016	44	Picture	fix1	799904	0	1	10026	1	0	10000	other	0
8016	45	Picture	NWBM	810264	0	1	20053	1	0	20000	other	0
8016	45	Response	2	816584	6319	0	NA	NA	NA	NA	NA	NA
8016	46	Picture	fix1	830484	0	1	10026	1	0	10000	other	0
8016	47	Picture	NWK	840678	0	1	20052	1	0	20000	other	0
8016	47	Response	2	847407	6729	0	NA	NA	NA	NA	NA	NA
8016	48	Picture	fix1	860897	0	1	10026	1	0	10000	other	0
8016	49	Picture	NMBK	871091	0	1	20053	1	0	20000	other	0
8016	49	Response	1	877737	6647	0	NA	NA	NA	NA	NA	NA
8016	50	Picture	fix1	891310	0	1	10026	1	0	10000	other	0
