Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty_1	ReqTime	ReqDur	Stim Type	Pair Index
78	1	Picture	ripnp	10166	0	1	50120	1	0	50000	other	0
78	1	Response	1	45184	35018	0	NA	NA	NA	NA	NA	NA
78	2	Picture	ricordaneutralprova	60452	0	1	50120	1	0	50000	other	0
78	2	Response	1	77758	17306	0	NA	NA	NA	NA	NA	NA
78	3	Picture	tre	110738	0	1	10157	1	0	10000	other	0
78	4	Picture	due	121062	0	1	10157	1	0	10000	other	0
78	5	Picture	uno	131386	0	1	10157	1	0	10000	other	0
78	6	Picture	zero	141709	0	1	10157	1	0	10000	other	0
78	7	Picture	neutraltest	152033	0	1	166	1	0	10	other	0
78	8	Picture	NMM	152532	0	1	20148	1	0	20000	other	0
78	8	Response	1	163937	11405	0	NA	NA	NA	NA	NA	NA
78	9	Picture	fix1	172847	0	1	10157	1	0	10000	other	0
78	10	Picture	NWK	183337	0	1	20148	1	0	20000	other	0
78	10	Response	2	192128	8791	0	NA	NA	NA	NA	NA	NA
78	11	Picture	fix1	203651	0	1	10157	1	0	10000	other	0
78	12	Picture	NMK	213975	0	1	20148	1	0	20000	other	0
78	12	Response	1	224481	10507	0	NA	NA	NA	NA	NA	NA
78	13	Picture	fix1	234289	0	1	10157	1	0	10000	other	0
78	14	Picture	NWBK	244613	0	1	20148	1	0	20000	other	0
78	14	Response	2	253790	9177	0	NA	NA	NA	NA	NA	NA
78	15	Picture	fix1	264927	0	1	10157	1	0	10000	other	0
78	16	Picture	ripfp	275251	0	1	50120	1	0	50000	other	0
78	16	Response	1	311387	36137	0	NA	NA	NA	NA	NA	NA
78	17	Picture	ricordafacceprova	325537	0	1	50120	1	0	50000	other	0
78	17	Response	1	336656	11120	0	NA	NA	NA	NA	NA	NA
78	18	Picture	tre	375823	0	1	10157	1	0	10000	other	0
78	19	Picture	due	386146	0	1	10157	1	0	10000	other	0
78	20	Picture	uno	396470	0	1	10157	1	0	10000	other	0
78	21	Picture	zero	406794	0	1	10157	1	0	10000	other	0
78	22	Picture	faccetest	417117	0	1	166	1	0	10	other	0
78	23	Picture	FMG	417450	0	1	20148	1	0	20000	other	0
78	23	Response	2	432138	14688	0	NA	NA	NA	NA	NA	NA
78	24	Picture	fix1	437765	0	1	10157	1	0	10000	other	0
78	25	Picture	FWR	448255	0	1	20148	1	0	20000	other	0
78	25	Response	2	458010	9755	0	NA	NA	NA	NA	NA	NA
78	26	Picture	fix1	468569	0	1	10157	1	0	10000	other	0
78	27	Picture	HWG	479059	0	1	20148	1	0	20000	other	0
