Subject	Trial	Event Type	Code	Time	TTime	Uncertainty...7	Duration	Uncertainty...9	ReqTime	ReqDur	Stim Type	Pair Index
20	1	Picture	ripnp	10167	0	1	50131	2	0	50000	other	0
20	2	Picture	ricordaneutralprova	60466	0	1	50131	1	0	50000	other	0
20	3	Picture	tre	110764	0	1	10026	1	0	10000	other	0
20	4	Picture	due	120957	0	1	10026	1	0	10000	other	0
20	5	Picture	uno	131151	0	1	10026	1	0	10000	other	0
20	6	Picture	zero	141344	0	1	10026	1	0	10000	other	0
20	7	Picture	neutraltest	151538	0	1	167	1	0	10	other	0
20	8	Picture	NMM	151872	0	1	20053	1	0	20000	other	0
20	8	Response	1	162175	10303	0	NA	NA	NA	NA	NA	NA
20	9	Picture	fix1	172092	0	1	10026	1	0	10000	other	0
20	10	Picture	NWK	182285	0	1	20053	1	0	20000	other	0
20	10	Response	2	187482	5197	0	NA	NA	NA	NA	NA	NA
20	11	Picture	fix1	202505	0	1	10026	1	0	10000	other	0
20	12	Picture	NMK	212698	0	1	20052	1	0	20000	other	0
20	12	Response	1	220936	8238	0	NA	NA	NA	NA	NA	NA
20	13	Picture	fix1	232918	0	1	10026	1	0	10000	other	0
20	14	Picture	NWBK	243111	0	1	20053	1	0	20000	other	0
20	14	Response	2	249902	6791	0	NA	NA	NA	NA	NA	NA
20	15	Picture	fix1	263331	0	1	10026	1	0	10000	other	0
20	16	Picture	ripfp	273524	0	1	50132	1	0	50000	other	0
20	17	Picture	ricordafacceprova	323823	0	1	50132	1	0	50000	other	0
20	18	Picture	tre	374121	0	1	10026	1	0	10000	other	0
20	19	Picture	due	384315	0	1	10026	1	0	10000	other	0
20	20	Picture	uno	394508	0	1	10026	1	0	10000	other	0
20	21	Picture	zero	404702	0	1	10026	1	0	10000	other	0
20	22	Picture	faccetest	414895	0	1	167	1	0	10	other	0
20	23	Picture	FMG	415229	0	1	20053	1	0	20000	other	0
20	23	Response	2	425736	10506	0	NA	NA	NA	NA	NA	NA
20	24	Picture	fix1	435449	0	1	10026	1	0	10000	other	0
20	25	Picture	FWR	445642	0	1	20053	1	0	20000	other	0
20	25	Response	2	451436	5794	0	NA	NA	NA	NA	NA	NA
20	26	Picture	fix1	465862	0	1	10026	1	0	10000	other	0
20	27	Picture	HWG	476055	0	1	20053	1	0	20000	other	0
20	27	Response	1	483686	7631	0	NA	NA	NA	NA	NA	NA
20	28	Picture	fix1	496275	0	1	10026	1	0	10000	other	0
20	29	Picture	HMR	506469	0	1	20053	1	0	20000	other	0
20	29	Response	1	511470	5001	0	NA	NA	NA	NA	NA	NA
20	30	Picture	fix1	526688	0	1	10026	1	0	10000	other	0
20	31	Picture	ripn	536882	0	1	50132	1	0	50000	other	0
20	32	Picture	ricordaneutral	587180	0	1	50131	1	0	50000	other	0
20	33	Picture	avvneutral	637479	0	1	50132	1	0	50000	other	0
20	34	Picture	cinque	687777	0	1	10026	1	0	10000	other	0
20	35	Picture	quattro	697971	0	1	10026	1	0	10000	other	0
20	36	Picture	tre	708164	0	1	10026	1	0	10000	other	0
20	37	Picture	due	718358	0	1	10026	1	0	10000	other	0
20	38	Picture	uno	728551	0	1	10026	1	0	10000	other	0
20	39	Picture	zero	738744	0	1	10026	1	0	10000	other	0
20	40	Picture	pazzo	748938	0	1	167	1	0	10	other	0
20	41	Picture	NMBM	749272	0	1	20053	1	0	20000	other	0
20	41	Response	1	756965	7693	0	NA	NA	NA	NA	NA	NA
20	42	Picture	fix1	769492	0	1	10026	1	0	10000	other	0
20	43	Picture	NMK	779685	0	1	20053	1	0	20000	other	0
20	43	Response	1	788226	8541	0	NA	NA	NA	NA	NA	NA
20	44	Picture	fix1	799905	0	1	10026	1	0	10000	other	0
20	45	Picture	NWBM	810098	0	1	20053	1	0	20000	other	0
20	45	Response	2	817801	7703	0	NA	NA	NA	NA	NA	NA
20	46	Picture	fix1	830318	0	1	10026	1	0	10000	other	0
20	47	Picture	NWK	840511	0	1	20053	1	0	20000	other	0
20	47	Response	2	845787	5275	0	NA	NA	NA	NA	NA	NA
20	48	Picture	fix1	860731	0	1	10026	1	0	10000	other	0
20	49	Picture	NMBK	870924	0	1	20053	1	0	20000	other	0
20	49	Response	1	877445	6521	0	NA	NA	NA	NA	NA	NA
20	50	Picture	fix1	891144	0	1	10026	1	0	10000	other	0
20	51	Picture	NWM	901338	0	1	20053	1	0	20000	other	0
20	51	Response	2	906922	5584	0	NA	NA	NA	NA	NA	NA
20	52	Picture	fix1	921557	0	1	10026	1	0	10000	other	0
20	53	Picture	NMM	931751	0	1	20053	1	0	20000	other	0
20	53	Response	1	938393	6642	0	NA	NA	NA	NA	NA	NA
20	54	Picture	fix1	951970	0	1	10026	1	0	10000	other	0
20	55	Picture	NWBK	962164	0	1	20053	1	0	20000	other	0
20	55	Response	2	968852	6688	0	NA	NA	NA	NA	NA	NA
20	56	Picture	fix1	982384	0	1	10026	1	0	10000	other	0
20	57	Picture	NMBM	992577	0	1	20053	1	0	20000	other	0
20	57	Response	1	999121	6544	0	NA	NA	NA	NA	NA	NA
20	58	Picture	fix1	1012797	0	1	10026	1	0	10000	other	0
20	59	Picture	NMK	1022990	0	1	20053	1	0	20000	other	0
20	59	Response	1	1035940	12950	0	NA	NA	NA	NA	NA	NA
20	60	Picture	fix1	1043210	0	1	10026	1	0	10000	other	0
20	61	Picture	NWBM	1053403	0	1	20053	1	0	20000	other	0
20	61	Response	2	1059659	6256	0	NA	NA	NA	NA	NA	NA
20	62	Picture	fix1	1073623	0	1	10026	1	0	10000	other	0
20	63	Picture	NWK	1083816	0	1	20053	1	0	20000	other	0
20	63	Response	2	1088341	4525	0	NA	NA	NA	NA	NA	NA
20	64	Picture	fix1	1104036	0	1	10026	1	0	10000	other	0
20	65	Picture	NMBK	1114229	0	1	20053	1	0	20000	other	0
