Subject	Trial	Event Type	Code	Time	TTime	Uncertainty...7	Duration	Uncertainty...9	ReqTime	ReqDur	Stim Type	Pair Index
NA	1	Picture	ripnp	10167	0	1	50131	1	0	50000	other	0
NA	2	Picture	ricordaneutralprova	60465	0	1	50131	1	0	50000	other	0
NA	3	Picture	tre	110763	0	1	10026	1	0	10000	other	0
NA	4	Picture	due	120956	0	1	10026	1	0	10000	other	0
NA	5	Picture	uno	131149	0	1	10026	1	0	10000	other	0
NA	6	Picture	zero	141343	0	1	10026	1	0	10000	other	0
NA	7	Picture	neutraltest	151536	0	1	167	1	0	10	other	0
NA	8	Picture	NMM	151870	0	1	20052	1	0	20000	other	0
NA	9	Picture	fix1	172090	0	1	10026	1	0	10000	other	0
NA	9	Response	1	172326	236	0	NA	NA	NA	NA	NA	NA
NA	10	Picture	NWK	182283	0	1	20052	1	0	20000	other	0
NA	10	Response	2	192778	10495	0	NA	NA	NA	NA	NA	NA
NA	11	Picture	fix1	202502	0	1	10026	1	0	10000	other	0
NA	12	Picture	NMK	212696	0	1	20052	1	0	20000	other	0
NA	12	Response	1	228023	15328	0	NA	NA	NA	NA	NA	NA
NA	13	Picture	fix1	232915	0	1	10026	1	0	10000	other	0
NA	14	Picture	NWBK	243108	0	1	20052	1	0	20000	other	0
NA	14	Response	2	251961	8852	0	NA	NA	NA	NA	NA	NA
NA	15	Picture	fix1	263328	0	1	10026	1	0	10000	other	0
NA	16	Picture	ripfp	273521	0	1	50131	1	0	50000	other	0
NA	17	Picture	ricordafacceprova	323819	0	1	50131	1	0	50000	other	0
NA	18	Picture	tre	374117	0	1	10026	1	0	10000	other	0
NA	19	Picture	due	384310	0	1	10026	1	0	10000	other	0
NA	20	Picture	uno	394504	0	1	10026	1	0	10000	other	0
NA	21	Picture	zero	404697	0	1	10026	1	0	10000	other	0
NA	22	Picture	faccetest	414890	0	1	167	1	0	10	other	0
NA	23	Picture	FMG	415224	0	1	20052	1	0	20000	other	0
NA	23	Response	2	429371	14147	0	NA	NA	NA	NA	NA	NA
NA	24	Picture	fix1	435444	0	1	10026	1	0	10000	other	0
NA	25	Picture	FWR	445637	0	1	20052	1	0	20000	other	0
NA	25	Response	2	456873	11236	0	NA	NA	NA	NA	NA	NA
NA	26	Picture	fix1	465856	0	1	10026	1	0	10000	other	0
NA	27	Picture	HWG	476050	0	1	20052	1	0	20000	other	0
NA	27	Response	1	482686	6637	0	NA	NA	NA	NA	NA	NA
NA	28	Picture	fix1	496269	0	1	10026	1	0	10000	other	0
NA	29	Picture	HMR	506462	0	1	20052	1	0	20000	other	0
NA	29	Response	1	513081	6618	0	NA	NA	NA	NA	NA	NA
NA	30	Picture	fix1	526682	0	1	10026	1	0	10000	other	0
NA	31	Picture	ripn	536875	0	1	50131	1	0	50000	other	0
NA	32	Picture	ricordaneutral	587173	0	1	50131	1	0	50000	other	0
NA	33	Picture	avvneutral	637471	0	1	50131	1	0	50000	other	0
NA	34	Picture	cinque	687769	0	1	10026	1	0	10000	other	0
NA	35	Picture	quattro	697962	0	1	10026	1	0	10000	other	0
NA	36	Picture	tre	708156	0	1	10026	1	0	10000	other	0
NA	37	Picture	due	718349	0	1	10026	1	0	10000	other	0
NA	38	Picture	uno	728542	0	1	10026	1	0	10000	other	0
NA	39	Picture	zero	738735	0	1	10026	1	0	10000	other	0
NA	40	Picture	pazzo	748929	0	1	167	1	0	10	other	0
NA	41	Picture	NMBM	749263	0	1	20052	1	0	20000	other	0
NA	41	Response	1	757969	8706	0	NA	NA	NA	NA	NA	NA
NA	42	Picture	fix1	769482	0	1	10026	1	0	10000	other	0
NA	43	Picture	NMK	779676	0	1	20052	1	0	20000	other	0
NA	43	Response	1	789438	9762	0	NA	NA	NA	NA	NA	NA
NA	44	Picture	fix1	799895	0	1	10026	1	0	10000	other	0
NA	45	Picture	NWBM	810088	0	1	20052	1	0	20000	other	0
NA	45	Response	2	820312	10224	0	NA	NA	NA	NA	NA	NA
NA	46	Picture	fix1	830308	0	1	10026	1	0	10000	other	0
NA	47	Picture	NWK	840501	0	1	20052	1	0	20000	other	0
NA	47	Response	2	846917	6415	0	NA	NA	NA	NA	NA	NA
