Subject	Trial	Event Type	Code	Time	TTime	Uncertainty...7	Duration	Uncertainty...9	ReqTime	ReqDur	Stim Type	Pair Index
SB3_014	1	Picture	ripnp	10167	0	1	50131	1	0	50000	other	0
SB3_014	2	Picture	ricordaneutralprova	60465	0	1	50131	1	0	50000	other	0
SB3_014	3	Picture	tre	110762	0	1	10026	1	0	10000	other	0
SB3_014	4	Picture	due	120956	0	1	10026	1	0	10000	other	0
SB3_014	5	Picture	uno	131149	0	1	10026	1	0	10000	other	0
SB3_014	6	Picture	zero	141342	0	1	10026	1	0	10000	other	0
SB3_014	7	Picture	neutraltest	151535	0	1	167	1	0	10	other	0
SB3_014	8	Picture	NMM	151870	0	1	20052	1	0	20000	other	0
SB3_014	8	Response	2	158215	6346	0	NA	NA	NA	NA	NA	NA
SB3_014	9	Picture	fix1	172089	0	1	10026	1	0	10000	other	0
SB3_014	10	Picture	NWK	182282	0	1	20052	1	0	20000	other	0
SB3_014	10	Response	2	190976	8694	0	NA	NA	NA	NA	NA	NA
SB3_014	11	Picture	fix1	202502	0	1	10026	1	0	10000	other	0
SB3_014	12	Picture	NMK	212695	0	1	20052	1	0	20000	other	0
SB3_014	12	Response	1	219654	6959	0	NA	NA	NA	NA	NA	NA
SB3_014	13	Picture	fix1	232914	0	1	10026	1	0	10000	other	0
SB3_014	14	Picture	NWBK	243107	0	1	20052	1	0	20000	other	0
SB3_014	14	Response	2	248929	5822	0	NA	NA	NA	NA	NA	NA
SB3_014	15	Picture	fix1	263327	0	1	10026	1	0	10000	other	0
SB3_014	16	Picture	ripfp	273520	0	1	50131	1	0	50000	other	0
SB3_014	17	Picture	ricordafacceprova	323818	0	1	50131	1	0	50000	other	0
SB3_014	18	Picture	tre	374116	0	1	10026	1	0	10000	other	0
SB3_014	19	Picture	due	384309	0	1	10026	1	0	10000	other	0
SB3_014	20	Picture	uno	394502	0	1	10026	1	0	10000	other	0
SB3_014	21	Picture	zero	404695	0	1	10026	1	0	10000	other	0
SB3_014	22	Picture	faccetest	414889	0	1	167	1	0	10	other	0
SB3_014	23	Picture	FMG	415223	0	1	20052	1	0	20000	other	0
SB3_014	23	Response	2	429055	13832	0	NA	NA	NA	NA	NA	NA
SB3_014	24	Picture	fix1	435442	0	1	10026	1	0	10000	other	0
SB3_014	25	Picture	FWR	445635	0	1	20052	1	0	20000	other	0
SB3_014	25	Response	2	451957	6322	0	NA	NA	NA	NA	NA	NA
SB3_014	26	Picture	fix1	465855	0	1	10026	1	0	10000	other	0
SB3_014	27	Picture	HWG	476048	0	1	20052	1	0	20000	other	0
SB3_014	27	Response	1	480535	4487	0	NA	NA	NA	NA	NA	NA
SB3_014	28	Picture	fix1	496267	0	1	10026	1	0	10000	other	0
SB3_014	29	Picture	HMR	506461	0	1	20052	1	0	20000	other	0
SB3_014	29	Response	1	512499	6039	0	NA	NA	NA	NA	NA	NA
SB3_014	30	Picture	fix1	526680	0	1	10026	1	0	10000	other	0
SB3_014	31	Picture	ripn	536873	0	1	50131	1	0	50000	other	0
SB3_014	32	Picture	ricordaneutral	587171	0	1	50131	1	0	50000	other	0
SB3_014	33	Picture	avvneutral	637469	0	1	50131	1	0	50000	other	0
SB3_014	34	Picture	cinque	687767	0	1	10026	1	0	10000	other	0
SB3_014	35	Picture	quattro	697960	0	1	10026	1	0	10000	other	0
SB3_014	36	Picture	tre	708153	0	1	10026	1	0	10000	other	0
SB3_014	37	Picture	due	718346	0	1	10026	1	0	10000	other	0
SB3_014	38	Picture	uno	728540	0	1	10026	1	0	10000	other	0
SB3_014	39	Picture	zero	738733	0	1	10026	1	0	10000	other	0
SB3_014	40	Picture	pazzo	748926	0	1	167	1	0	10	other	0
SB3_014	41	Picture	NMBM	749260	0	1	20052	1	0	20000	other	0
SB3_014	41	Response	1	753160	3900	0	NA	NA	NA	NA	NA	NA
SB3_014	42	Picture	fix1	769480	0	1	10026	1	0	10000	other	0
SB3_014	43	Picture	NMK	779673	0	1	20052	1	0	20000	other	0
SB3_014	43	Response	1	785350	5677	0	NA	NA	NA	NA	NA	NA
SB3_014	44	Picture	fix1	799892	0	1	10026	1	0	10000	other	0
SB3_014	45	Picture	NWBM	810086	0	1	20052	1	0	20000	other	0
SB3_014	45	Response	2	815293	5207	0	NA	NA	NA	NA	NA	NA
SB3_014	46	Picture	fix1	830305	0	1	10026	1	0	10000	other	0
SB3_014	47	Picture	NWK	840498	0	1	20052	1	0	20000	other	0
SB3_014	47	Response	2	844369	3870	0	NA	NA	NA	NA	NA	NA
SB3_014	48	Picture	fix1	860718	0	1	10026	1	0	10000	other	0
SB3_014	49	Picture	NMBK	870911	0	1	20052	1	0	20000	other	0
SB3_014	49	Response	1	876331	5420	0	NA	NA	NA	NA	NA	NA
SB3_014	50	Picture	fix1	891130	0	1	10026	1	0	10000	other	0
SB3_014	51	Picture	NWM	901323	0	1	20052	1	0	20000	other	0
SB3_014	51	Response	2	906999	5675	0	NA	NA	NA	NA	NA	NA
SB3_014	52	Picture	fix1	921543	0	1	10026	1	0	10000	other	0
SB3_014	53	Picture	NMM	931736	0	1	20052	1	0	20000	other	0
SB3_014	53	Response	1	935675	3939	0	NA	NA	NA	NA	NA	NA
SB3_014	54	Picture	fix1	951955	0	1	10026	1	0	10000	other	0
SB3_014	55	Picture	NWBK	962149	0	1	20052	1	0	20000	other	0
SB3_014	55	Response	2	967138	4990	0	NA	NA	NA	NA	NA	NA
SB3_014	56	Picture	fix1	982368	0	1	10026	1	0	10000	other	0
SB3_014	57	Picture	NMBM	992561	0	1	20052	1	0	20000	other	0
SB3_014	57	Response	1	997207	4646	0	NA	NA	NA	NA	NA	NA
SB3_014	58	Picture	fix1	1012781	0	1	10026	1	0	10000	other	0
SB3_014	59	Picture	NMK	1022974	0	1	20052	1	0	20000	other	0
SB3_014	59	Response	1	1028789	5815	0	NA	NA	NA	NA	NA	NA
SB3_014	60	Picture	fix1	1043193	0	1	10026	1	0	10000	other	0
SB3_014	61	Picture	NWBM	1053387	0	1	20052	1	0	20000	other	0
SB3_014	61	Response	2	1058834	5448	0	NA	NA	NA	NA	NA	NA
SB3_014	62	Picture	fix1	1073606	0	1	10026	1	0	10000	other	0
SB3_014	63	Picture	NWK	1083799	0	1	20052	1	0	20000	other	0
SB3_014	63	Response	2	1087705	3906	0	NA	NA	NA	NA	NA	NA
SB3_014	64	Picture	fix1	1104019	0	1	10026	1	0	10000	other	0
SB3_014	65	Picture	NMBK	1114212	0	1	20052	1	0	20000	other	0
SB3_014	65	Response	1	1118670	4458	0	NA	NA	NA	NA	NA	NA
SB3_014	66	Picture	fix1	1134431	0	1	10026	1	0	10000	other	0
SB3_014	67	Picture	NWM	1144624	0	1	20052	1	0	20000	other	0
SB3_014	67	Response	2	1149138	4513	0	NA	NA	NA	NA	NA	NA
SB3_014	68	Picture	fix1	1164844	0	1	10026	1	0	10000	other	0
SB3_014	69	Picture	NMM	1175037	0	1	20052	1	0	20000	other	0
SB3_014	69	Response	1	1179118	4081	0	NA	NA	NA	NA	NA	NA
SB3_014	70	Picture	fix1	1195256	0	1	10026	1	0	10000	other	0
SB3_014	71	Picture	NWBK	1205450	0	1	20052	1	0	20000	other	0
SB3_014	71	Response	2	1209375	3925	0	NA	NA	NA	NA	NA	NA
SB3_014	72	Picture	fix1	1225669	0	1	10026	1	0	10000	other	0
SB3_014	73	Picture	NMBM	1235862	0	1	20052	1	0	20000	other	0
SB3_014	73	Response	1	1240240	4378	0	NA	NA	NA	NA	NA	NA
SB3_014	74	Picture	fix1	1256082	0	1	10026	1	0	10000	other	0
SB3_014	75	Picture	NMK	1266275	0	1	20052	1	0	20000	other	0
SB3_014	75	Response	1	1270720	4445	0	NA	NA	NA	NA	NA	NA
SB3_014	76	Picture	fix1	1286494	0	1	10026	1	0	10000	other	0
SB3_014	77	Picture	NWBM	1296688	0	1	20052	1	0	20000	other	0
SB3_014	77	Response	2	1301873	5186	0	NA	NA	NA	NA	NA	NA
SB3_014	78	Picture	fix1	1316907	0	1	10026	1	0	10000	other	0
SB3_014	79	Picture	NWK	1327100	0	1	20052	1	0	20000	other	0
SB3_014	79	Response	2	1331545	4445	0	NA	NA	NA	NA	NA	NA
SB3_014	80	Picture	fix1	1347320	0	1	10193	1	0	10000	other	0
SB3_014	81	Picture	NMBK	1357680	0	1	20052	1	0	20000	other	0
SB3_014	81	Response	1	1362411	4731	0	NA	NA	NA	NA	NA	NA
SB3_014	82	Picture	fix1	1377899	0	1	10026	1	0	10000	other	0
SB3_014	83	Picture	NWM	1388093	0	1	20052	1	0	20000	other	0
SB3_014	83	Response	2	1392482	4389	0	NA	NA	NA	NA	NA	NA
SB3_014	84	Picture	fix1	1408312	0	1	10026	1	0	10000	other	0
SB3_014	85	Picture	NMM	1418505	0	1	20052	1	0	20000	other	0
SB3_014	85	Response	1	1422850	4345	0	NA	NA	NA	NA	NA	NA
SB3_014	86	Picture	fix1	1438725	0	1	10026	1	0	10000	other	0
SB3_014	87	Picture	NWBK	1448918	0	1	20052	1	0	20000	other	0
SB3_014	87	Response	2	1452621	3704	0	NA	NA	NA	NA	NA	NA
SB3_014	88	Picture	fix1	1469137	0	1	10026	1	0	10000	other	0
SB3_014	89	Picture	NMBM	1479331	0	1	20052	1	0	20000	other	0
SB3_014	89	Response	1	1483189	3858	0	NA	NA	NA	NA	NA	NA
SB3_014	90	Picture	fix1	1499550	0	1	10026	1	0	10000	other	0
SB3_014	91	Picture	NMK	1509743	0	1	20052	1	0	20000	other	0
SB3_014	91	Response	1	1516543	6800	0	NA	NA	NA	NA	NA	NA
SB3_014	92	Picture	fix1	1529963	0	1	10026	1	0	10000	other	0
SB3_014	93	Picture	NWBM	1540156	0	1	20052	1	0	20000	other	0
SB3_014	93	Response	2	1545529	5373	0	NA	NA	NA	NA	NA	NA
SB3_014	94	Picture	fix1	1560375	0	1	10026	1	0	10000	other	0
SB3_014	95	Picture	NWK	1570568	0	1	20052	1	0	20000	other	0
SB3_014	95	Response	2	1575885	5316	0	NA	NA	NA	NA	NA	NA
SB3_014	96	Picture	fix1	1590788	0	1	10026	1	0	10000	other	0
SB3_014	97	Picture	NMBK	1600981	0	1	20052	1	0	20000	other	0
SB3_014	97	Response	1	1606453	5472	0	NA	NA	NA	NA	NA	NA
SB3_014	98	Picture	fix1	1621200	0	1	10026	1	0	10000	other	0
SB3_014	99	Picture	NWM	1631394	0	1	20052	1	0	20000	other	0
SB3_014	99	Response	2	1636626	5232	0	NA	NA	NA	NA	NA	NA
SB3_014	100	Picture	fix1	1651613	0	1	10026	1	0	10000	other	0
SB3_014	101	Picture	NMM	1661806	0	1	20052	1	0	20000	other	0
SB3_014	101	Response	1	1667194	5388	0	NA	NA	NA	NA	NA	NA
SB3_014	102	Picture	fix1	1682026	0	1	10026	1	0	10000	other	0
SB3_014	103	Picture	NWBK	1692219	0	1	20052	1	0	20000	other	0
SB3_014	103	Response	2	1696567	4349	0	NA	NA	NA	NA	NA	NA
SB3_014	104	Picture	fix1	1712438	0	1	10026	1	0	10000	other	0
SB3_014	105	Picture	NMBM	1722632	0	1	20052	1	0	20000	other	0
SB3_014	105	Response	1	1726638	4007	0	NA	NA	NA	NA	NA	NA
SB3_014	106	Picture	fix1	1742851	0	1	10026	1	0	10000	other	0
SB3_014	107	Picture	NMK	1753044	0	1	20052	1	0	20000	other	0
SB3_014	107	Response	1	1758203	5159	0	NA	NA	NA	NA	NA	NA
SB3_014	108	Picture	fix1	1773264	0	1	10026	1	0	10000	other	0
SB3_014	109	Picture	NWBM	1783457	0	1	20052	1	0	20000	other	0
SB3_014	109	Response	2	1787488	4031	0	NA	NA	NA	NA	NA	NA
SB3_014	110	Picture	fix1	1803676	0	1	10026	1	0	10000	other	0
SB3_014	111	Picture	NWK	1813869	0	1	20052	1	0	20000	other	0
SB3_014	111	Response	2	1818355	4485	0	NA	NA	NA	NA	NA	NA
SB3_014	112	Picture	fix1	1834089	0	1	10026	1	0	10000	other	0
SB3_014	113	Picture	NMBK	1844282	0	1	20052	1	0	20000	other	0
SB3_014	113	Response	1	1848412	4130	0	NA	NA	NA	NA	NA	NA
SB3_014	114	Picture	fix1	1864502	0	1	10026	1	0	10000	other	0
SB3_014	115	Picture	NWM	1874695	0	1	20052	1	0	20000	other	0
SB3_014	115	Response	2	1879177	4483	0	NA	NA	NA	NA	NA	NA
SB3_014	116	Picture	fix1	1894914	0	1	10026	1	0	10000	other	0
SB3_014	117	Picture	NMM	1905107	0	1	20052	1	0	20000	other	0
SB3_014	117	Response	1	1909644	4537	0	NA	NA	NA	NA	NA	NA
SB3_014	118	Picture	fix1	1925327	0	1	10026	1	0	10000	other	0
SB3_014	119	Picture	NWBK	1935520	0	1	20052	1	0	20000	other	0
SB3_014	119	Response	2	1939823	4303	0	NA	NA	NA	NA	NA	NA
SB3_014	120	Picture	fix1	1955739	0	1	10026	1	0	10000	other	0
SB3_014	121	Picture	NMBM	1965933	0	1	20052	1	0	20000	other	0
SB3_014	121	Response	1	1969690	3758	0	NA	NA	NA	NA	NA	NA
SB3_014	122	Picture	fix1	1986152	0	1	10026	1	0	10000	other	0
SB3_014	123	Picture	NMK	1996345	0	1	20052	1	0	20000	other	0
SB3_014	123	Response	1	2001240	4895	0	NA	NA	NA	NA	NA	NA
SB3_014	124	Picture	fix1	2016565	0	1	10026	1	0	10000	other	0
SB3_014	125	Picture	NWBM	2026758	0	1	20052	1	0	20000	other	0
SB3_014	125	Response	2	2031308	4550	0	NA	NA	NA	NA	NA	NA
SB3_014	126	Picture	fix1	2046977	0	1	10026	1	0	10000	other	0
SB3_014	127	Picture	NWK	2057171	0	1	20052	1	0	20000	other	0
SB3_014	127	Response	2	2062370	5199	0	NA	NA	NA	NA	NA	NA
SB3_014	128	Picture	fix1	2077390	0	1	10026	1	0	10000	other	0
SB3_014	129	Picture	NMBK	2087583	0	1	20052	1	0	20000	other	0
SB3_014	129	Response	1	2091938	4355	0	NA	NA	NA	NA	NA	NA
SB3_014	130	Picture	fix1	2107803	0	1	10026	1	0	10000	other	0
SB3_014	131	Picture	NWM	2117996	0	1	20052	1	0	20000	other	0
SB3_014	131	Response	2	2122204	4208	0	NA	NA	NA	NA	NA	NA
SB3_014	132	Picture	fix1	2138215	0	1	10193	1	0	10000	other	0
SB3_014	133	Picture	NMM	2148576	0	1	20052	1	0	20000	other	0
SB3_014	133	Response	1	2152371	3795	0	NA	NA	NA	NA	NA	NA
SB3_014	134	Picture	fix1	2168795	0	1	10026	1	0	10000	other	0
SB3_014	135	Picture	NWBK	2178988	0	1	20052	1	0	20000	other	0
SB3_014	135	Response	2	2183533	4544	0	NA	NA	NA	NA	NA	NA
SB3_014	136	Picture	fix1	2199208	0	1	10026	1	0	10000	other	0
SB3_014	137	Picture	NMBM	2209401	0	1	20052	1	0	20000	other	0
SB3_014	137	Response	1	2213610	4209	0	NA	NA	NA	NA	NA	NA
SB3_014	138	Picture	fix1	2229620	0	1	10026	1	0	10000	other	0
SB3_014	139	Picture	NMK	2239814	0	1	20052	1	0	20000	other	0
SB3_014	139	Response	1	2244761	4948	0	NA	NA	NA	NA	NA	NA
SB3_014	140	Picture	fix1	2260033	0	1	10026	1	0	10000	other	0
