Subject	Trial	Event Type	Code	Time	TTime	Uncertainty...7	Duration	Uncertainty...9	ReqTime	ReqDur	Stim Type	Pair Index
NA	1	Picture	ripnp	10167	0	1	50131	1	0	50000	other	0
NA	2	Picture	ricordaneutralprova	60465	0	1	50131	1	0	50000	other	0
NA	3	Picture	tre	110763	0	1	10026	1	0	10000	other	0
NA	4	Picture	due	120957	0	1	10026	1	0	10000	other	0
NA	5	Picture	uno	131150	0	1	10026	1	0	10000	other	0
NA	6	Picture	zero	141343	0	1	10026	1	0	10000	other	0
NA	7	Picture	neutraltest	151536	0	1	167	1	0	10	other	0
NA	8	Picture	NMM	151871	0	1	20052	1	0	20000	other	0
NA	8	Response	1	164537	12666	0	NA	NA	NA	NA	NA	NA
NA	9	Picture	fix1	172090	0	1	10026	1	0	10000	other	0
NA	10	Picture	NWK	182283	0	1	20052	1	0	20000	other	0
NA	10	Response	2	192873	10590	0	NA	NA	NA	NA	NA	NA
NA	11	Picture	fix1	202503	0	1	10026	1	0	10000	other	0
NA	12	Picture	NMK	212696	0	1	20052	1	0	20000	other	0
NA	13	Picture	fix1	232916	0	1	10026	1	0	10000	other	0
NA	14	Picture	NWBK	243109	0	1	20052	1	0	20000	other	0
NA	14	Response	2	254502	11392	0	NA	NA	NA	NA	NA	NA
NA	15	Picture	fix1	263329	0	1	10026	1	0	10000	other	0
NA	16	Picture	ripfp	273522	0	1	50131	1	0	50000	other	0
NA	17	Picture	ricordafacceprova	323820	0	1	50131	1	0	50000	other	0
NA	18	Picture	tre	374118	0	1	10026	1	0	10000	other	0
NA	19	Picture	due	384312	0	1	10026	1	0	10000	other	0
NA	20	Picture	uno	394505	0	1	10026	1	0	10000	other	0
NA	21	Picture	zero	404698	0	1	10026	1	0	10000	other	0
NA	22	Picture	faccetest	414892	0	1	167	1	0	10	other	0
NA	23	Picture	FMG	415226	0	1	20052	1	0	20000	other	0
NA	24	Picture	fix1	435445	0	1	10026	1	0	10000	other	0
NA	25	Picture	FWR	445639	0	1	20052	1	0	20000	other	0
NA	25	Response	2	461205	15567	0	NA	NA	NA	NA	NA	NA
NA	26	Picture	fix1	465858	0	1	10026	1	0	10000	other	0
NA	27	Picture	HWG	476052	0	1	20052	1	0	20000	other	0
NA	27	Response	1	485274	9222	0	NA	NA	NA	NA	NA	NA
NA	28	Picture	fix1	496271	0	1	10026	1	0	10000	other	0
NA	29	Picture	HMR	506464	0	1	20052	1	0	20000	other	0
NA	29	Response	1	516289	9825	0	NA	NA	NA	NA	NA	NA
NA	30	Picture	fix1	526684	0	1	10026	1	0	10000	other	0
NA	31	Picture	ripn	536877	0	1	50131	1	0	50000	other	0
NA	32	Picture	ricordaneutral	587175	0	1	50131	1	0	50000	other	0
NA	33	Picture	avvneutral	637474	0	1	50131	1	0	50000	other	0
NA	34	Picture	cinque	687772	0	1	10026	1	0	10000	other	0
NA	35	Picture	quattro	697965	0	1	10026	1	0	10000	other	0
NA	36	Picture	tre	708158	0	1	10026	1	0	10000	other	0
NA	37	Picture	due	718352	0	1	10026	1	0	10000	other	0
NA	38	Picture	uno	728545	0	1	10026	1	0	10000	other	0
NA	39	Picture	zero	738738	0	1	10026	1	0	10000	other	0
NA	40	Picture	pazzo	748932	0	1	167	1	0	10	other	0
NA	41	Picture	NMBM	749266	0	1	20052	1	0	20000	other	0
NA	41	Response	1	755588	6322	0	NA	NA	NA	NA	NA	NA
NA	42	Picture	fix1	769485	0	1	10026	1	0	10000	other	0
NA	43	Picture	NMK	779679	0	1	20052	1	0	20000	other	0
NA	43	Response	1	790370	10692	0	NA	NA	NA	NA	NA	NA
NA	44	Picture	fix1	799898	0	1	10026	1	0	10000	other	0
NA	45	Picture	NWBM	810092	0	1	20052	1	0	20000	other	0
NA	45	Response	2	820298	10207	0	NA	NA	NA	NA	NA	NA
NA	46	Picture	fix1	830311	0	1	10026	1	0	10000	other	0
NA	47	Picture	NWK	840504	0	1	20052	1	0	20000	other	0
NA	47	Response	2	847661	7156	0	NA	NA	NA	NA	NA	NA
NA	48	Picture	fix1	860724	0	1	10026	1	0	10000	other	0
NA	49	Picture	NMBK	870917	0	1	20052	1	0	20000	other	0
