Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty_1	ReqTime	ReqDur	Stim Type	Pair Index
8047	1	Picture	ripnp	10167	0	1	50131	1	0	50000	other	0
8047	2	Picture	ricordaneutralprova	60465	0	1	50132	1	0	50000	other	0
8047	3	Picture	tre	110764	0	1	10026	1	0	10000	other	0
8047	4	Picture	due	120957	0	1	10026	1	0	10000	other	0
8047	5	Picture	uno	131151	0	1	10026	1	0	10000	other	0
8047	6	Picture	zero	141344	0	1	10026	1	0	10000	other	0
8047	7	Picture	neutraltest	151538	0	1	167	1	0	10	other	0
8047	8	Picture	NMM	151872	0	1	20053	1	0	20000	other	0
8047	8	Response	1	161152	9280	0	NA	NA	NA	NA	NA	NA
8047	9	Picture	fix1	172092	0	1	10026	1	0	10000	other	0
8047	10	Picture	NWK	182285	0	1	20053	1	0	20000	other	0
8047	10	Response	2	189221	6935	0	NA	NA	NA	NA	NA	NA
8047	11	Picture	fix1	202505	0	1	10026	1	0	10000	other	0
8047	12	Picture	NMK	212698	0	1	20053	1	0	20000	other	0
8047	12	Response	1	220474	7776	0	NA	NA	NA	NA	NA	NA
8047	13	Picture	fix1	232918	0	1	10026	1	0	10000	other	0
8047	14	Picture	NWBK	243111	0	1	20052	1	0	20000	other	0
8047	14	Response	2	249936	6825	0	NA	NA	NA	NA	NA	NA
8047	15	Picture	fix1	263331	0	1	10026	1	0	10000	other	0
8047	16	Picture	ripfp	273524	0	1	50132	1	0	50000	other	0
8047	17	Picture	ricordafacceprova	323823	0	1	50132	1	0	50000	other	0
8047	18	Picture	tre	374122	0	1	10026	1	0	10000	other	0
8047	19	Picture	due	384315	0	1	10026	1	0	10000	other	0
8047	20	Picture	uno	394509	0	1	10026	1	0	10000	other	0
8047	21	Picture	zero	404702	0	1	10026	1	0	10000	other	0
8047	22	Picture	faccetest	414895	0	1	167	1	0	10	other	0
8047	23	Picture	FMG	415229	0	1	20053	1	0	20000	other	0
8047	23	Response	2	425210	9981	0	NA	NA	NA	NA	NA	NA
8047	24	Picture	fix1	435449	0	1	10026	1	0	10000	other	0
8047	25	Picture	FWR	445643	0	1	20053	1	0	20000	other	0
8047	25	Response	2	451175	5532	0	NA	NA	NA	NA	NA	NA
8047	26	Picture	fix1	465862	0	1	10026	1	0	10000	other	0
8047	27	Picture	HWG	476056	0	1	20053	1	0	20000	other	0
8047	27	Response	1	482933	6877	0	NA	NA	NA	NA	NA	NA
8047	28	Picture	fix1	496275	0	1	10026	1	0	10000	other	0
8047	29	Picture	HMR	506469	0	1	20053	1	0	20000	other	0
8047	29	Response	2	515365	8896	0	NA	NA	NA	NA	NA	NA
8047	29	Response	1	518760	12291	0	NA	NA	NA	NA	NA	NA
8047	30	Picture	fix1	526689	0	1	10026	1	0	10000	other	0
8047	31	Picture	ripn	536882	0	1	50131	1	0	50000	other	0
8047	32	Picture	ricordaneutral	587181	0	1	50131	1	0	50000	other	0
8047	33	Picture	avvneutral	637479	0	1	50132	1	0	50000	other	0
8047	34	Picture	cinque	687778	0	1	10026	1	0	10000	other	0
8047	35	Picture	quattro	697971	0	1	10026	1	0	10000	other	0
8047	36	Picture	tre	708165	0	1	10026	1	0	10000	other	0
8047	37	Picture	due	718358	0	1	10026	1	0	10000	other	0
8047	38	Picture	uno	728552	0	1	10026	1	0	10000	other	0
8047	39	Picture	zero	738745	0	1	10026	1	0	10000	other	0
8047	40	Picture	pazzo	748938	0	1	167	1	0	10	other	0
8047	41	Picture	NMBM	749273	0	1	20053	1	0	20000	other	0
8047	41	Response	1	758404	9131	0	NA	NA	NA	NA	NA	NA
8047	42	Picture	fix1	769492	0	1	10026	1	0	10000	other	0
8047	43	Picture	NMK	779686	0	1	20053	1	0	20000	other	0
8047	43	Response	1	787865	8180	0	NA	NA	NA	NA	NA	NA
8047	44	Picture	fix1	799905	0	1	10026	1	0	10000	other	0
8047	45	Picture	NWBM	810266	0	1	20053	1	0	20000	other	0
8047	45	Response	2	816531	6265	0	NA	NA	NA	NA	NA	NA
8047	46	Picture	fix1	830486	0	1	10026	1	0	10000	other	0
8047	47	Picture	NWK	840679	0	1	20053	1	0	20000	other	0
8047	47	Response	2	845495	4815	0	NA	NA	NA	NA	NA	NA
8047	48	Picture	fix1	860899	0	1	10026	1	0	10000	other	0
8047	49	Picture	NMBK	871092	0	1	20053	1	0	20000	other	0
8047	49	Response	1	878440	7348	0	NA	NA	NA	NA	NA	NA
8047	50	Picture	fix1	891312	0	1	10026	1	0	10000	other	0
8047	51	Picture	NWM	901505	0	1	20053	1	0	20000	other	0
8047	51	Response	2	906609	5104	0	NA	NA	NA	NA	NA	NA
8047	52	Picture	fix1	921725	0	1	10026	1	0	10000	other	0
8047	53	Picture	NMM	931919	0	1	20053	1	0	20000	other	0
8047	53	Response	1	938858	6939	0	NA	NA	NA	NA	NA	NA
8047	54	Picture	fix1	952138	0	1	10026	1	0	10000	other	0
8047	55	Picture	NWBK	962332	0	1	20053	1	0	20000	other	0
8047	55	Response	2	968320	5988	0	NA	NA	NA	NA	NA	NA
8047	56	Picture	fix1	982551	0	1	10026	1	0	10000	other	0
8047	57	Picture	NMBM	992745	0	1	20053	1	0	20000	other	0
8047	57	Response	1	997492	4748	0	NA	NA	NA	NA	NA	NA
8047	58	Picture	fix1	1012965	0	1	10026	1	0	10000	other	0
8047	59	Picture	NMK	1023158	0	1	20053	1	0	20000	other	0
8047	59	Response	1	1030925	7767	0	NA	NA	NA	NA	NA	NA
8047	60	Picture	fix1	1043378	0	1	10026	1	0	10000	other	0
8047	61	Picture	NWBM	1053571	0	1	20053	1	0	20000	other	0
8047	61	Response	2	1063774	10203	0	NA	NA	NA	NA	NA	NA
8047	62	Picture	fix1	1073791	0	1	10026	1	0	10000	other	0
8047	63	Picture	NWK	1083984	0	1	20053	1	0	20000	other	0
8047	63	Response	2	1091444	7460	0	NA	NA	NA	NA	NA	NA
8047	64	Picture	fix1	1104204	0	1	10026	1	0	10000	other	0
8047	65	Picture	NMBK	1114397	0	1	20053	1	0	20000	other	0
8047	65	Response	1	1120609	6211	0	NA	NA	NA	NA	NA	NA
8047	66	Picture	fix1	1134617	0	1	10026	1	0	10000	other	0
8047	67	Picture	NWM	1144810	0	1	20053	1	0	20000	other	0
8047	67	Response	2	1153257	8447	0	NA	NA	NA	NA	NA	NA
8047	68	Picture	fix1	1165030	0	1	10026	1	0	10000	other	0
8047	69	Picture	NMM	1175224	0	1	20053	1	0	20000	other	0
8047	69	Response	1	1182919	7695	0	NA	NA	NA	NA	NA	NA
8047	70	Picture	fix1	1195443	0	1	10026	1	0	10000	other	0
8047	71	Picture	NWBK	1205637	0	1	20053	1	0	20000	other	0
8047	71	Response	2	1217262	11625	0	NA	NA	NA	NA	NA	NA
8047	72	Picture	fix1	1225857	0	1	10026	1	0	10000	other	0
8047	73	Picture	NMBM	1236050	0	1	20053	1	0	20000	other	0
8047	73	Response	1	1244238	8188	0	NA	NA	NA	NA	NA	NA
8047	74	Picture	fix1	1256270	0	1	10026	1	0	10000	other	0
8047	75	Picture	NMK	1266463	0	1	20053	1	0	20000	other	0
8047	75	Response	1	1274996	8533	0	NA	NA	NA	NA	NA	NA
8047	76	Picture	fix1	1286683	0	1	10026	1	0	10000	other	0
8047	77	Picture	NWBM	1296876	0	1	20053	1	0	20000	other	0
8047	77	Response	2	1308740	11864	0	NA	NA	NA	NA	NA	NA
8047	78	Picture	fix1	1317096	0	1	10026	1	0	10000	other	0
8047	79	Picture	NWK	1327289	0	1	20053	1	0	20000	other	0
8047	79	Response	2	1332431	5142	0	NA	NA	NA	NA	NA	NA
8047	80	Picture	fix1	1347509	0	1	10026	1	0	10000	other	0
8047	81	Picture	NMBK	1357702	0	1	20053	1	0	20000	other	0
8047	81	Response	1	1363091	5388	0	NA	NA	NA	NA	NA	NA
8047	82	Picture	fix1	1377922	0	1	10026	1	0	10000	other	0
8047	83	Picture	NWM	1388116	0	1	20053	1	0	20000	other	0
8047	83	Response	2	1397262	9147	0	NA	NA	NA	NA	NA	NA
8047	84	Picture	fix1	1408335	0	1	10026	1	0	10000	other	0
8047	85	Picture	NMM	1418529	0	1	20053	1	0	20000	other	0
8047	85	Response	1	1425603	7074	0	NA	NA	NA	NA	NA	NA
8047	86	Picture	fix1	1438748	0	1	10026	1	0	10000	other	0
8047	87	Picture	NWBK	1448942	0	1	20053	1	0	20000	other	0
8047	87	Response	2	1455962	7021	0	NA	NA	NA	NA	NA	NA
8047	88	Picture	fix1	1469162	0	1	10026	1	0	10000	other	0
8047	89	Picture	NMBM	1479355	0	1	20053	1	0	20000	other	0
8047	89	Response	1	1484631	5276	0	NA	NA	NA	NA	NA	NA
8047	90	Picture	fix1	1499575	0	1	10026	1	0	10000	other	0
8047	91	Picture	NMK	1509768	0	1	20053	1	0	20000	other	0
8047	91	Response	1	1519571	9803	0	NA	NA	NA	NA	NA	NA
8047	92	Picture	fix1	1529988	0	1	10026	1	0	10000	other	0
8047	93	Picture	NWBM	1540181	0	1	20053	1	0	20000	other	0
8047	93	Response	2	1549434	9253	0	NA	NA	NA	NA	NA	NA
8047	94	Picture	fix1	1560401	0	1	10026	1	0	10000	other	0
8047	95	Picture	NWK	1570594	0	1	20053	1	0	20000	other	0
8047	95	Response	2	1575416	4822	0	NA	NA	NA	NA	NA	NA
8047	96	Picture	fix1	1590814	0	1	10026	1	0	10000	other	0
8047	97	Picture	NMBK	1601008	0	1	20053	1	0	20000	other	0
8047	97	Response	1	1608067	7060	0	NA	NA	NA	NA	NA	NA
8047	98	Picture	fix1	1621227	0	1	10026	1	0	10000	other	0
8047	99	Picture	NWM	1631421	0	1	20053	1	0	20000	other	0
8047	99	Response	2	1637932	6512	0	NA	NA	NA	NA	NA	NA
8047	100	Picture	fix1	1651640	0	1	10026	1	0	10000	other	0
8047	101	Picture	NMM	1661834	0	1	20053	1	0	20000	other	0
8047	101	Response	1	1667198	5364	0	NA	NA	NA	NA	NA	NA
8047	102	Picture	fix1	1682054	0	1	10026	1	0	10000	other	0
8047	103	Picture	NWBK	1692247	0	1	20053	1	0	20000	other	0
8047	103	Response	2	1697859	5612	0	NA	NA	NA	NA	NA	NA
8047	104	Picture	fix1	1712467	0	1	10026	1	0	10000	other	0
8047	105	Picture	NMBM	1722660	0	1	20053	1	0	20000	other	0
8047	105	Response	1	1727625	4965	0	NA	NA	NA	NA	NA	NA
8047	106	Picture	fix1	1742880	0	1	10026	1	0	10000	other	0
8047	107	Picture	NMK	1753073	0	1	20053	1	0	20000	other	0
8047	107	Response	2	1759579	6506	0	NA	NA	NA	NA	NA	NA
8047	107	Response	1	1762665	9592	0	NA	NA	NA	NA	NA	NA
8047	108	Picture	fix1	1773293	0	1	10026	1	0	10000	other	0
8047	109	Picture	NWBM	1783486	0	1	20053	1	0	20000	other	0
8047	109	Response	2	1792130	8644	0	NA	NA	NA	NA	NA	NA
8047	110	Picture	fix1	1803706	0	1	10026	1	0	10000	other	0
8047	111	Picture	NWK	1813900	0	1	20053	1	0	20000	other	0
8047	111	Response	2	1823487	9588	0	NA	NA	NA	NA	NA	NA
8047	112	Picture	fix1	1834119	0	1	10026	1	0	10000	other	0
8047	113	Picture	NMBK	1844313	0	1	20053	1	0	20000	other	0
8047	113	Response	1	1852852	8539	0	NA	NA	NA	NA	NA	NA
8047	114	Picture	fix1	1864532	0	1	10026	1	0	10000	other	0
8047	115	Picture	NWM	1874726	0	1	20053	1	0	20000	other	0
8047	115	Response	2	1886099	11373	0	NA	NA	NA	NA	NA	NA
8047	116	Picture	fix1	1894946	0	1	10026	1	0	10000	other	0
8047	117	Picture	NMM	1905139	0	1	20053	1	0	20000	other	0
8047	117	Response	1	1912179	7040	0	NA	NA	NA	NA	NA	NA
8047	118	Picture	fix1	1925359	0	1	10026	1	0	10000	other	0
8047	119	Picture	NWBK	1935552	0	1	20053	1	0	20000	other	0
8047	119	Response	2	1940550	4998	0	NA	NA	NA	NA	NA	NA
8047	120	Picture	fix1	1955772	0	1	10026	1	0	10000	other	0
8047	121	Picture	NMBM	1965965	0	1	20053	1	0	20000	other	0
