Subject	Trial	Event Type	Code	Time	TTime	Uncertainty...7	Duration	Uncertainty...9	ReqTime	ReqDur	Stim Type	Pair Index
32	1	Picture	ripnp	10167	0	1	50131	1	0	50000	other	0
32	2	Picture	ricordaneutralprova	60465	0	1	50131	1	0	50000	other	0
32	3	Picture	tre	110762	0	1	10026	1	0	10000	other	0
32	4	Picture	due	120956	0	1	10026	1	0	10000	other	0
32	5	Picture	uno	131149	0	1	10026	1	0	10000	other	0
32	6	Picture	zero	141342	0	1	10026	1	0	10000	other	0
32	7	Picture	neutraltest	151535	0	1	167	1	0	10	other	0
32	8	Picture	NMM	151870	0	1	20052	1	0	20000	other	0
32	8	Response	1	157874	6004	0	NA	NA	NA	NA	NA	NA
32	9	Picture	fix1	172089	0	1	10026	1	0	10000	other	0
32	10	Picture	NWK	182282	0	1	20052	1	0	20000	other	0
32	10	Response	2	187150	4867	0	NA	NA	NA	NA	NA	NA
32	11	Picture	fix1	202502	0	1	10026	1	0	10000	other	0
32	12	Picture	NMK	212695	0	1	20052	1	0	20000	other	0
32	12	Response	1	218415	5720	0	NA	NA	NA	NA	NA	NA
32	13	Picture	fix1	232914	0	1	10026	1	0	10000	other	0
32	14	Picture	NWBK	243107	0	1	20052	1	0	20000	other	0
32	14	Response	2	247689	4582	0	NA	NA	NA	NA	NA	NA
32	15	Picture	fix1	263327	0	1	10026	1	0	10000	other	0
32	16	Picture	ripfp	273520	0	1	50131	1	0	50000	other	0
32	17	Picture	ricordafacceprova	323818	0	1	50131	1	0	50000	other	0
32	18	Picture	tre	374116	0	1	10026	1	0	10000	other	0
32	19	Picture	due	384309	0	1	10026	1	0	10000	other	0
32	20	Picture	uno	394502	0	1	10026	1	0	10000	other	0
32	21	Picture	zero	404677	0	19	10044	19	0	10000	other	0
32	22	Picture	faccetest	414889	0	1	167	1	0	10	other	0
32	23	Picture	FMG	415223	0	1	20052	1	0	20000	other	0
32	23	Response	2	420560	5337	0	NA	NA	NA	NA	NA	NA
32	24	Picture	fix1	435442	0	1	10026	1	0	10000	other	0
32	25	Picture	FWR	445636	0	1	20052	1	0	20000	other	0
32	25	Response	2	451529	5893	0	NA	NA	NA	NA	NA	NA
32	26	Picture	fix1	465855	0	1	10026	1	0	10000	other	0
32	27	Picture	HWG	476048	0	1	20052	1	0	20000	other	0
32	27	Response	1	479611	3563	0	NA	NA	NA	NA	NA	NA
32	28	Picture	fix1	496267	0	1	10026	1	0	10000	other	0
32	29	Picture	HMR	506461	0	1	20052	1	0	20000	other	0
32	29	Response	1	510483	4022	0	NA	NA	NA	NA	NA	NA
32	30	Picture	fix1	526680	0	1	10026	1	0	10000	other	0
32	31	Picture	ripn	536873	0	1	50131	1	0	50000	other	0
32	32	Picture	ricordaneutral	587171	0	1	50131	1	0	50000	other	0
32	33	Picture	avvneutral	637469	0	1	50131	1	0	50000	other	0
32	34	Picture	cinque	687767	0	1	10026	1	0	10000	other	0
32	35	Picture	quattro	697960	0	1	10026	1	0	10000	other	0
32	36	Picture	tre	708153	0	1	10026	1	0	10000	other	0
32	37	Picture	due	718347	0	1	10026	1	0	10000	other	0
32	38	Picture	uno	728540	0	1	10026	1	0	10000	other	0
