Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty_1	ReqTime	ReqDur	Stim Type	Pair Index
8041	1	Picture	ripnp	10167	0	1	50132	1	0	50000	other	0
8041	2	Picture	ricordaneutralprova	60466	0	1	50132	1	0	50000	other	0
8041	3	Picture	tre	110765	0	1	10026	1	0	10000	other	0
8041	4	Picture	due	120958	0	1	10026	1	0	10000	other	0
8041	5	Picture	uno	131152	0	1	10026	1	0	10000	other	0
8041	6	Picture	zero	141345	0	1	10026	1	0	10000	other	0
8041	7	Picture	neutraltest	151538	0	1	167	1	0	10	other	0
8041	8	Picture	NMM	151873	0	1	20053	1	0	20000	other	0
8041	8	Response	1	157429	5556	0	NA	NA	NA	NA	NA	NA
8041	9	Picture	fix1	172092	0	1	10026	1	0	10000	other	0
8041	10	Picture	NWK	182286	0	1	20053	1	0	20000	other	0
8041	10	Response	2	193697	11412	0	NA	NA	NA	NA	NA	NA
8041	11	Picture	fix1	202506	0	1	10026	1	0	10000	other	0
8041	12	Picture	NMK	212699	0	1	20053	1	0	20000	other	0
8041	12	Response	1	232365	19666	0	NA	NA	NA	NA	NA	NA
8041	13	Picture	fix1	232919	0	1	10026	1	0	10000	other	0
8041	14	Picture	NWBK	243112	0	1	20053	1	0	20000	other	0
8041	14	Response	2	253947	10835	0	NA	NA	NA	NA	NA	NA
8041	15	Picture	fix1	263332	0	1	10026	1	0	10000	other	0
8041	16	Picture	ripfp	273526	0	1	50132	1	0	50000	other	0
8041	17	Picture	ricordafacceprova	323824	0	1	50132	1	0	50000	other	0
8041	18	Picture	tre	374123	0	1	10026	1	0	10000	other	0
8041	19	Picture	due	384317	0	1	10026	1	0	10000	other	0
8041	20	Picture	uno	394510	0	1	10026	1	0	10000	other	0
8041	21	Picture	zero	404704	0	1	10026	1	0	10000	other	0
8041	22	Picture	faccetest	414897	0	1	167	1	0	10	other	0
8041	23	Picture	FMG	415231	0	1	20053	1	0	20000	other	0
8041	23	Response	2	421803	6572	0	NA	NA	NA	NA	NA	NA
8041	24	Picture	fix1	435451	0	1	10026	1	0	10000	other	0
8041	25	Picture	FWR	445645	0	1	20053	1	0	20000	other	0
8041	25	Response	2	454973	9328	0	NA	NA	NA	NA	NA	NA
8041	26	Picture	fix1	465864	0	1	10026	1	0	10000	other	0
8041	27	Picture	HWG	476058	0	1	20053	1	0	20000	other	0
8041	27	Response	1	481850	5792	0	NA	NA	NA	NA	NA	NA
8041	28	Picture	fix1	496278	0	1	10026	1	0	10000	other	0
8041	29	Picture	HMR	506471	0	1	20053	1	0	20000	other	0
8041	29	Response	1	516919	10448	0	NA	NA	NA	NA	NA	NA
8041	30	Picture	fix1	526691	0	1	10026	1	0	10000	other	0
8041	31	Picture	ripn	536885	0	1	50132	1	0	50000	other	0
8041	32	Picture	ricordaneutral	587183	0	1	50132	1	0	50000	other	0
8041	33	Picture	avvneutral	637482	0	1	50132	1	0	50000	other	0
8041	34	Picture	cinque	687781	0	1	10026	1	0	10000	other	0
8041	35	Picture	quattro	697975	0	1	10026	1	0	10000	other	0
8041	36	Picture	tre	708168	0	1	10026	1	0	10000	other	0
8041	37	Picture	due	718362	0	1	10026	1	0	10000	other	0
8041	38	Picture	uno	728555	0	1	10026	1	0	10000	other	0
8041	39	Picture	zero	738748	0	1	10026	1	0	10000	other	0
8041	40	Picture	pazzo	748942	0	1	167	1	0	10	other	0
8041	41	Picture	NMBM	749276	0	1	20053	1	0	20000	other	0
8041	41	Response	1	756527	7251	0	NA	NA	NA	NA	NA	NA
8041	42	Picture	fix1	769496	0	1	10026	1	0	10000	other	0
